,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,ADDRESS,MAP,NAME,WEB,EMAIL,EMAIL
,,,,,,
,,,Animal Protection Party,https://www.animalprotectionparty.ca/,contact@animalprotectionparty.ca,liz@animalprotectionparty.ca
,"5060 – 74 Avenue SE, Calgary, AB, T2C 3C9",,"AARCS, Alberta Animal Rescue Crew Society (Calgary) ",https://aarcs.ca/,info@aarcs.ca,
,,,ARF- Animal Rescue Foundation (Calgary) ,https://arf.ab.ca/,https://arf.ab.ca/contact/,
,,,BARCs Rescue (Calgary) ,https://barcsrescue.com/,info@barcsrescue.com,
,,,"FRFA, Feline Rescue Foundation of Alberta (Calgary) ",https://frfa.ca/,contact@frfa.ca,
,"Little Mutts Rescue Society  P.O. Box 2101 Station Main  Cochrane, AB  T4C 1B8",,Little Mutts Rescue Society (Calgary) ,https://www.littlemuttsrescue.org/,littlemuttsrescue@gmail.com ,
,,"51.09804132347029, -114.04585661159696","MEOW, Make Each One Wanted Foundation (Calgary) ",https://meowfoundation.com/,socialmedia@meowfoundation.com,
,,,Misty Creek Dog Rescue (Calgary) ,https://mistycreekdogrescue.com/,info@mistycreekdogrescue.com,
,,,Pawsitive Match Rescue (Calgary) ,https://pawsitivematch.org/,board@pawsitivematch.org,
,,"51.000723427069815, -113.97490306646587",Pets for Life (Calgary) ,https://petsforlifesocietyalberta.ca/,,info@petsforlifesocietyalberta.ca
,,,Rocky Mountain Animal Rescue (Canmore) ,http://www.rockymountainanimalrescue.com/,rockymountainanimalrescue@gmail.com,
,,"51.42839963151141, -114.02888772436096",Tails to Tell Animal Rescue (Crossfield),https://tailstotell.ca/,info@tailstotell.ca,
,,"53.62176689810461, -113.49321148517897",Northern Spirit K9 Rescue (Edmonton) ,https://www.facebook.com/northernspiritk9/,,
,,,Heaven Can Wait Rescue Foundation,https://www.heavencanwait.ca/,hcw@telusplanet.net,
,,,Pound Rescue (Okotoks) ,http://poundrescue.com/,poundrescue@gmail.com,
,,"52.30343070446684, -113.80361574089224",Red Deer & District SPCA ,https://reddeerspca.com/home,info@cahumane.com,
,,,Whisker Rescue (Red Deer) ,https://whiskerrescue.com/,whiskerrescue@live.com,
,,"52.36861549796906, -114.90469116642642",Rocky Organization for Animal Rescue (ROAR Society) ,http://www.roarsociety.ca/index.html,roarsociety@yahoo.ca ,
,,,Animal Haven Rescue League,https://www.facebook.com/animalhavenrescueleague/,animalhavenrescue@gmail.com ,
,,"50.13463952487736, -121.00297569108876",Angel's Animal Rescue Society ,https://angelsanimalrescue.ca/,aarsrescue@gmail.com,
