,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,NAME,WEB PAGE,EMAIL,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Animal Liberation Front,https://animalliberationfrontline.com,https://animalliberationfrontline.com/contact-animal-liberation-front-line/,,,,,,,,,,,,,,
,Battersea Dogs & Cats Home (now known as Battersea) ,http://www.battersea.org.uk/,info@battersea.org.uk,,,,,,,,,,,,,,
,Brooke Hospital for Animals,http://www.thebrooke.org/,info@thebrooke.org,Info@BrookeUSA.org,mail@thebrookeindia.org,info@thebrooke.org.pk,Info.senegal@thebrooke.org,brookeea@thebrookeeastafrica.org,info@thebrookeethiopia.org,,,,,,,,
,https://themayhew.org/,https://themayhew.org/,info@mayhewanimalhome.org,,,,,,,,,,,,,,
,Drinking Fountain Assocation.,http://drinkingfountains.org/,ralph.baber@drinkingfountains.org,jane.goldberger@drinkingfountains.org,,,,,,,,,,,,,
,World Animal Protection,https://www.worldanimalprotection.org/,info@worldanimalprotection.org ,africaenquiries@worldanimalprotection.org ,info@worldanimalprotection.org.au ,contato@worldanimalprotection.org.br ,info@worldanimalprotection.ca ,info@worldanimalprotection.org.cn ,infola@worldanimalprotection.org ,info@worldanimalprotection.dk ,info@worldanimalprotection.org.in ,info@worldanimalprotection.nl ,info@worldanimalprotection.org.nz ,info@worldanimalprotection.se ,info@worldanimalprotection.or.th ,pressofficer@worldanimalprotection.org.uk ,info@worldanimalprotection.us 
,Royal Society for the Protection of Birds,https://rspb.org.uk/,membership@rspb.org.uk,,,,,,,,,,,,,,
,African Conservation Foundation,https://africanconservation.org/,,,,,,,,,,,,,,,
,Amphibian and Reptile Conservation Trust,https://www.arc-trust.org/,enquiries@arc-trust.org,,,,,,,,,,,,,,
,Animal Free Research UK,https://www.animalfreeresearchuk.org/,hello@animalfreeresearchuk.org,,,,,,,,,,,,,,
,The Aspinall Foundation,https://www.aspinallfoundation.org/,https://share.hsforms.com/1TyTesSqdQOKePCsODiTOSA1n2zx,,,,,,,,,,,,,,
,Blue Cross (animal charity),https://www.bluecross.org.uk/,https://bluecrosseu.freshdesk.com/support/tickets/new,,,,,,,,,,,,,,
,Born Free Foundation,https://www.bornfree.org.uk/,info@bornfree.org.uk,,,,,,,,,,,,,,
,British Divers Marine Life Rescue,https://bdmlr.org.uk/,info@bdmlr.org.uk,,,,,,,,,,,,,,
,British Hen Welfare Trust,https://www.bhwt.org.uk/,info@bhwt.co.uk,,,,,,,,,,,,,,
,British Herpetological Society,https://www.thebhs.org/,info@thebhs.org,,,,,,,,,,,,,,
,British Trust for Ornithology,https://www.bto.org/,info@bto.org,,,,,,,,,,,,,,
,Buttercups Sanctuary for Goats,https://www.buttercups.org.uk/,,,,,,,,,,,,,,,
,Cats Protection,https://www.cats.org.uk/,https://www.cats.org.uk/find-us/contact-us,,,,,,,,,,,,,,
,Uncaged Campaigns,http://www.uncaged.co.uk/,https://www.casj.org.uk/contact,,,,,,,,,,,,,,
,The Cinnamon Trust,https://cinnamon.org.uk/cinnamon-trust/,https://cinnamon.org.uk/contact-us/,,,,,,,,,,,,,,
