COUNTRY,MAP COORDINATES,NAME,WEB PAGE,EMAIL,EMAIL 2,EMAIL 3,EMAIL 4,EMAIL 5,EMAIL 6,EMAIL 7,EMAIL 8,EMAIL 9,EMAIL 10,EMAIL 11,EMAIL 12,EMAIL 13,EMAIL 14,EMAIL 15
UK +44 ,"53.83994543304914, -1.9284685867189806",Battersea Dogs & Cats Home (now known as Battersea),http://www.battersea.org.uk/,info@battersea.org.uk,,,,,,,,,,,,,,
UK +44 ,"51.51310486977388, -0.07928412181161787","Brooke - London, UK",http://www.thebrooke.org/,info@thebrooke.org,,,,,,,,,,,,,,
UK +44 ,"52.36940793369312, 4.905472440184366","Brooke - Amsterdam, Holland",http://www.thebrooke.org/,info@brooke.nl,,,,,,,,,,,,,,
UK +44 ,"31°32'50.5""N 74°22'38.3""E","Brooke - Lahore, Pakistan",http://www.thebrooke.org/,mail@thebrookeindia.org,,,,,,,,,,,,,,
UK +44 ,"31.54734742024332, 74.37730477623597","Brooke - Punjab, Pakistan",http://www.thebrooke.org/,info@thebrooke.org.pk,,,,,,,,,,,,,,
UK +44 ,"14.73034864969585, -17.47267830486182","Brooke - Dakar, Senegal",http://www.thebrooke.org/,Info.senegal@thebrooke.org,,,,,,,,,,,,,,
UK +44 ,,Brooke - East Africa,http://www.thebrooke.org/,brookeea@thebrookeeastafrica.org,,,,,,,,,,,,,,
UK +44 ,,Brooke - Ethiopia,http://www.thebrooke.org/,info@thebrookeethiopia.org,,,,,,,,,,,,,,
UK +44 ,"38.018892260365746, -84.55141620265265","Brooke - Kentucky, USA",http://www.thebrooke.org/,Info@BrookeUSA.org,,,,,,,,,,,,,,
UK +44 ,"51.53124093653335, -0.2327816619862445",Mayhew Animal Home,https://themayhew.org/,info@mayhewanimalhome.org,,,,,,,,,,,,,,
UK +44 ,"51.4163888208974, 0.07865214004896921",Drinking Fountain Assocation.,http://drinkingfountains.org/,ralph.baber@drinkingfountains.org,jane.goldberger@drinkingfountains.org,,,,,,,,,,,,,
