NOME ASSOCIAZIONE,LOCALITÀ,INDIRIZZO,EMAIL,TELEFONO,SITO WEB,FACEBOOK,INSTAGRAM
"ENPA - Ente Nazionale Protezione Animali, sez. Bergamo",Bergamo (BG),"Via Giuseppe Mangili 4, 24121 Bergamo",bergamo@enpa.org,035 301764,https://enpabergamo.it,https://www.facebook.com/EnpaBergamo,https://www.instagram.com/enpabergamo
OIPA Italia ODV - Sezione Bergamo,Verdello (BG),"Via Volta 8, 24020 Torre Boldone (sede operativa)",bergamo@oipa.org,,https://www.oipa.org/italia/delegazioni/bergamo/,https://www.facebook.com/p/Oipa-Bergamo-Odv-100078962882189,
OIPA - Nucleo Guardie Eco-Zoofile Bergamo,Bergamo (BG),,bergamo@oipa.org,,https://www.guardiezoofile.info/nuclei/lombardia/bergamo/,https://www.facebook.com/p/Guardie-Eco-Zoofile-OIPA-Bergamo-100064551257781,
"LAV - Lega Anti Vivisezione, Sportello Bergamo",Bergamo (BG),"Via Borgo Palazzo 106, 24125 Bergamo",bergamo@lav.it,344 1362519,https://www.lav.it,https://www.facebook.com/LAVonlus,
Il Rifugio del Cane ODV,Seriate (BG),"Via Francesco Nullo 30, 24068 Seriate",info@ilrifugiodelcane.org,035 298651,https://www.ilrifugiodelcane.org,https://www.facebook.com/IlRifugioDelCane,
Fondazione Baratieri ETS ONLUS,Arzago d'Adda (BG),"Strada Consortile alla Scortica, 24040 Arzago d'Adda",rifugio@fondazionebaratieri.it,347 7801076,https://fondazionebaratieriets.it,https://www.facebook.com/PaginaUfficialeRifugioBaratieri,
Dimensione Animale Bergamo ODV,Levate (BG),"Strada Provinciale 150 s.n.c., 24040 Levate",dimensioneanimalebg@gmail.com,340 7887738,https://dimensioneanimalebergamo.org,https://www.facebook.com/dimensioneanimalebg,https://www.instagram.com/dimensioneanimalebg
AnimaLibera ODV - Canile di Grignano,Brembate (BG),"Via Brugarole 100, fraz. Grignano, 24041 Brembate",animalibera.appelli@gmail.com,338 4524334,https://www.animaliberaonlus.it,https://www.facebook.com/CanilediGrignanoAnimalibera,https://www.instagram.com/animaliberaodv
"Milano Zoofila ODV - Oasi del Cane, Grignano",Brembate (BG),"Via Brugarole 100, fraz. Grignano, 24041 Brembate",adozioni@milanozoofila.org,338 1929698,https://milanozoofila.org,https://www.facebook.com/milanozoofila,
Canile di Colzate - Ass. Poldo ODV,Colzate (BG),"Via Bonfanti 110, 24020 Colzate",canilecolzate@hotmail.it,348 4400305,https://caniledicolzate.wixsite.com/canile-colzate,https://www.facebook.com/caniledicolzate,
Canile di Calvenzano,Calvenzano (BG),"Via Roma, Calvenzano",info@canilecalvenzano.com,0363 45388,,,
ENPA Bergamo - Gattile,Bergamo (BG),"Via Borfuro 2, 24121 Bergamo",bergamo@enpa.org,035 246008,https://enpabergamo.it,https://www.facebook.com/EnpaBergamo,https://www.instagram.com/enpabergamo
Amici del Gattile ONLUS - Gattile di Treviglio,Treviglio (BG),"Via Cappuccini snc (ang. Via Pontirolo 31), 24047 Treviglio",gattiletreviglio@gmail.com,350 5392576,https://www.gattiletreviglio.it,https://www.facebook.com/GattilediTreviglio,
Amici per i Baffi ODV - Rifugio Oasi Gatti,Madone (BG),"Via A. Manzoni 24, 24040 Madone",,,,https://www.facebook.com/amiciperibaffi,
Gatti di Bergamo,Bergamo (BG),24125 Bergamo,mici@gattidibergamo.it,349 7164498,,,
I Gatti di Anna ODV,Verdello (BG),"Cascina lungo Provinciale Francesca, Verdello",igattidiannabergamo@gmail.com,333 1069674,,https://www.facebook.com/GattiDiAnnaBergamo,https://www.instagram.com/i_gatti_di_anna_bergamo
Gattile di Caravaggio,Caravaggio (BG),,,340 7890170,,,
"AIPA - Associazione Italiana Protezione Animali, sez. Bergamo",Bergamo (BG),"ASST Papa Giovanni XXIII, Piazza O.M.S. 1, 24127 Bergamo",aipa.bergamo@gmail.com,,https://www.aipabergamo.com,,
Il Cercapadrone - sez. Bergamo,Bergamo (BG),,bergamo@ilcercapadroneonlus.it,333 6353844,,,
Stragatti R. ONLUS,Bergamo (BG),,,,,,
Mici per Amici,Bergamo (BG),,amicidikika@katamail.com,,,,
Rete Territoriale Felini Liberi - Media e Alta Valle Seriana,Clusone / Valle Seriana (BG),"Pineta di Clusone, loc. Busgarina (progetto 'I Gatti nel Bosco')",bergamo@enpa.org,,https://enpabergamo.it,,
I Pelosetti di Silvana,Bergamo (BG),,,,https://www.ipelosettidisilvana.com,,
,,,,,,,
"ENPA - Ente Nazionale Protezione Animali, sez. Brescia",Brescia (BS),"Via Quinta 29, Villaggio Sereno, 25125 Brescia",info@enpabrescia.it,351 8140814,https://www.enpabrescia.it,https://www.facebook.com/EnpaBrescia,https://www.instagram.com/enpa_brescia
OIPA Italia - Sezione Brescia,Brescia (BS),,brescia@oipa.org,,https://www.oipa.org/italia/delegazioni/brescia/,,
OIPA - Nucleo Guardie Eco-Zoofile Brescia,Brescia (BS),,brescia@oipa.org,,https://www.guardiezoofile.info/nuclei/lombardia/brescia/,,
"LAV - Lega Anti Vivisezione, sez. Brescia",Brescia (BS),Via Borgo Palazzo 106 (sede rif.) / Brescia,brescia@lav.it,,https://www.lav.it,,
A.T.A.R. ODV - Associazione Tutela Animali Randagi,Brescia (BS),"Via Orzinuovi snc, Parco del Mella, 25125 Brescia",,348 8926600,https://atarbrescia.it,https://www.facebook.com/atarbrescia,https://www.instagram.com/atar_odv_bs
S.O.S. Randagi - Canile Rifugio di Brescia,Brescia (BS),"Via Girelli 6, 25100 Brescia",info@canilerifugiobrescia.it,338 1713874 / 346 3856600,http://www.canilerifugiobrescia.it,,
Associazione Le Muse - Rifugio,Rezzato (BS),"SP 67, km 2/3, Rezzato",info@associazionelemuse.it,328 9199310 / 339 7127686,http://www.associazionelemuse.com,https://www.facebook.com/lemuserezzato,https://www.instagram.com/rifugio_le_muse
Canile San Rocco di Calcinatello,Brescia (BS),"Via Gavardina di Sopra 2, Calcinatello (Brescia)",info@caniledicalcinatello.it,333 7279612,http://www.caniledicalcinatello.it,,
Rustico Belfiore ONLUS - Canile e Gattile,Chiari (BS),"Via Milano 39, 25032 Chiari",rusticobelfiore@libero.it,327 1965157 / 030 7001701,https://www.rusticobelfiore.it,,
Associazione Compagni di Strada - Canile Intercomunale,Desenzano del Garda (BS),"Via San Lorenzino Basso 8, Loc. S. Pietro, 25015 Desenzano del Garda",compagnidistrada@gmail.com,340 5066247,https://www.compagnidistrada.org,,
Associazione ARGO - Rifugio di Gorzone,Darfo Boario Terme (BS),"Loc. Crape di Luine (Parco Incisioni Rupestri), Gorzone di Darfo Boario Terme",info@rifugiodigorzone.it,347 8603088,http://www.rifugiodigorzone.it,,
Angeli nell'Ombra - Cascina Carlotti,Gottolengo (BS),"Cascina Carlotti, Gottolengo",info@angelinellombra.com,030 9951961,https://www.angelinellombra.com,,
Rifugio Comprensoriale della Valcamonica,Lozio (BS),"Località Tolbes, Lozio",,0364 1942875 / 0364 329415,,,
A.V.A.R. - Associazione Volontari Amici Randagi / Gattile Oasi AVAR,Brescia (BS),"Via Orzinuovi, Parco del Mella, 25100 Brescia (sede: Via E. Fermi 34, Castelmella)",info@avar.it,339 4206389,https://www.avar.it,,
Associazione Telefono Difesa Animali ODV - Gattile,Capriano del Colle (BS),"Cascina Gruccione, Parco del Montenetto, 25020 Capriano del Colle",info@telefonodifesaanimali.it,030 2548521 / 333 3623224,https://www.telefonodifesaanimali.it,https://www.facebook.com/gattile.brescia.telefono.difesa.animali.odv,
Associazione R.A.F. - Rifugio Animali Felici / Gattile Villaggio Paolino,Desenzano del Garda (BS),"Via San Lorenzino Basso 8, Loc. S. Pietro, 25015 Desenzano del Garda",associazione.raf@gmail.com,342 6164865,https://www.gattiledidesenzano.it,,
L.A.I.C.A. ODV - Libera Associazione Italiana per la Cura degli Animali,Erbusco (BS),"Via S. D'Acquisto 10, 25030 Erbusco",laicaperglianimali@gmail.com,338 7662780,,,
La Casa del Gatto - Associazione di Promozione Sociale,Provaglio d'Iseo (BS),Terreno concesso dal Comune di Provaglio d'Iseo,,,,https://www.facebook.com/MicideLaCasadelGatto,
OIPA - Sezione Capriolo (BS),Capriolo (BS),"c/o Casa delle Associazioni, Via IV Novembre 26, Capriolo",,339 2452980,https://www.oipa.org/italia/delegazioni/,,
Canile Sanitario di Brescia - ATS Brescia,Brescia (BS),"Via Orzinuovi 92, 25125 Brescia",canilesanitario@ats-brescia.it,030 3838452,https://www.ats-brescia.it/canile-sanitar-1,,
