,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,MAP,NAME,WEB,email1,email2,email3
,,,"EGAR, East Galway Animal Rescue (Loughrea)",http://www.egar.org/,webmaster@egar.org,,
,,,Leitrim Animal Welfare (Drumkeerin) ,,,,
,,,Mayo Society for the Prevention of Cruelty to Animals (Ballyhaunis,about:blank,https://mayospca.ie/contact/,,
,,,Dogs Aid Animal Sanctuary (Dublin) ,https://dogsaid.ie/,info@dogsaid.ie,,
,,"53.33640881174616, -6.322428637288931",The Irish Blue Cross (Inchicore) ,about:blank,info@bluecross.ie,,
,,"53.174882469895984, -6.935605373275437",Kildare Animal Foundation,http://animalfoundation.ie/, info@animalfoundation.ie,,
,,"53.62576710298687, -7.888255744421089","ISPCA, Irish Society for the Prevention of Cruelty to Animal (Keenagh) ",https://www.ispca.ie/,info@ispca.ie,,
,,,Drogheda Animal Rescue (DAR) ,http://dar.ie/,info@dar.ie,,
,,,Last Hope Animal Charity (Navan) ,https://www.lasthope.ie/,info@lasthope.ie,,
,,"52.929041394717686, -6.535810650943715",ASH Animal Rescue (Kiltegan) ,http://ashanimalrescue.com/ash/,ashlm@eircom.net,,
,,,"RAWR, Rural Animal Welfare Resources ",https://rawr.ie/,info@rawr.ie,,
,,,West Cork Animal Welfare Group (Clonakilty) ,https://westcorkanimals.com/,info@westcorkanimals.com,,
,,"51.80688394350758, -9.01600627333078",Cork Animal Care Society (Kilmichael) ,https://www.animalcaresociety.ie/,info@animalcaresociety.ie,,
,,"52.37442237133442, -8.44862091806881","LAW, Limerick Animal Welfare (Kilfinane) ",https://www.limerickanimalwelfare.com/,lawsanctuary@gmail.com,,
,,"52.51085258768702, -7.458886144466588",PAWS Animal Rescue (Mullinahone) ,https://www.paws.ie/,info@paws.ie,,
,"53.372801825863206, -6.251652390514881","53.35097449303795, -6.275301270564208",Waterford SPCA,https://www.ispca.ie/member_societies/detail/waterford_spca_ltd,info@cdpa.ie ,cspca@hotmail.com ,ncdspca@gmail.com 
