MAP,NAME,WEB PAGE,EMAIL,EMAIL 2,EMAIL 3,EMAIL 4
"40.86725770674044, 14.333876860417512",Ass.ne A.D.L.A. [ASSOCIAZIONE DIFESA LIBERTA' ANIMALI ] Onlus,,info-adozioni@katamail.com,,,
"40.471972327078916, 17.24539539138217",A.N.P.A.A. ASSOCIAZIONE NAZIONALE PROTEZIONE ANIMALI DI AFFEZIONE,http://www.anpa-albalangheroero.it/,anpa-alba@tiscali.it t,,,
"45.470207883188614, 10.84957312758999",A.R.C.A. ANIMAL RESEARCH CONSERVATION IN ACTION ONLUS,https://fondazionearca.eu/,segreteria@fondazionearca.eu,,,
"41.79489468200225, 12.930623244856665",A.S.A. ASSOCIAZIONE SOCCORSO ANIMALI,,,,,
"44.47205574581747, 7.841467768623624",A.S.SE.A. ONLUS,https://asseaonlus.wordpress.com/,asseaonlus2011@gmail.com,,,
"40.823176757828065, 14.34025570959048",Abeta Onlus,https://www.facebook.com/abeta.onlus/?locale=it_IT,infoabeta@alice.it,,,
"41.05051801061, 16.700054755626223",AMICI DEGLI ANIMALI ONLUS,https://www.amicideglianimali.net/,info.amicideglianimali@gmail.com,,,
"43.055709351628536, 11.489778409942591",ANIMA EQUINA APS,https://www.animaequina.it/,https://form.jotform.com/200494062522043,,,
"45.54123659201429, 10.22140483973818",Animal Amnesty,https://www.facebook.com/AnimalAmnesty/,info@animalamnesty.it,,,
"45.463148312185794, 9.173445717153381",ANIMAL EQUALITY ITALIA,https://animalequality.it/,info@animalequality.it,,,
"43.51405722782779, 10.876778625408388",Pet Rescue Italia,https://www.petrescueitalia.org/,petrescueitalia@gmail.com,,,
"45.40519402882308, 10.988787293477985",ANIMALISTI VERONA,https://www.animalistiverona.org/,animalistiverona@gmail.com,,,
"44.41210543726097, 8.928185670773845",ANIMALS ASIAFOUNDATION ITALIA,https://www.animalsasia.org/it/,info@animalsasia.org,,,
"43.595689924548765, 10.352180774322235",AnimAnimale ONLUS,https://www.facebook.com/AnimAnimaleOnlus/,riccardo.sinopoli@gmail.com,,,
"45.28572731270044, 9.857846767582622",Associazione Arischiogatti Onlus,https://arischiogatti.it/,arischiogatti@email.it,,,
