,,,,,,,,
,,,,,,,,
,,,NAME,WEB PAGE,EMAIL,EMAIL 2,EMAIL 3,EMAIL 4
,,,,,,,,
,,,ACT Animal Rescue (Canberra),https://www.petrescue.com.au/,info@petrescue.org.au,,,
,,,"ARF, ACT Rescue and Foster (Canberra)",https://fosterdogs.org/,enquiries@fosterdogs.org,,,
,,,Border Small Animal Rescue,https://www.facebook.com/bordersmallanimalrescue/,bordersmallanimalrescue@hotmail.com,,,
,,"-32.750612035427, 151.61112373474472",Central Coast Animal Care Facility,https://www.facebook.com/Ccacf/,ccacfpetadoptions@gmail.com,,,
,,,Community Cat Carers Inc,https://community-cat-carers-inc.raisely.com/,hello@communitycatcarers.org.au,,,
,,,Denise At Paws Inc,https://www.deniseatpaws.com.au/,info@deniseatpaws.com.au,,,
,,"-34.06484521603887, 150.81418504065337",Firefly Animal Rescue,https://www.fireflyanimalrescue.com/,fireflyanimalrescue@gmail.com,,,
,,"-33.89249684243583, 151.0854061310694",Sydney Dogs and Cats Home (Carlton),https://sydneydogsandcatshome.org/,info@sydneydogsandcatshome.org,,,
,,"-33.23744233570346, 151.4955587588967",SoCares Animal Care Facility,https://www.socaresanimalcarefacility.com.au/,socaresacf@gmail.com,,,
,,"-29.65407203017514, 152.82853386738427",HappyPaws Haven (Eatonsville),https://www.happypawshaven.com.au/,//info@happypawshaven.com.au/,,,
,,"-33.67344096886411, 151.25820295232734",Monikas Doggie Rescue (Ingleside),https://doggierescue.com/,admin@doggierescue.com,,,
,,"-28.81823322796979, 153.24955872170324",Animal Rights and Rescue Group Inc. (Lismore),https://animalrights.org.au/,nonkill@animalrights.org.au,,,
,,"-33.92247663483117, 150.9254350888407",Liverpool animal shelter,https://www.liverpool.nsw.gov.au/services/liverpool-animal-shelter,,,,
,,,Friends Of The Hound Inc. (Murwillumbah South),https://www.friendsofthehound.org.au/,enquiries@friendsofthehound.org.au,,,
,,,Dog Rescue Newcastle,https://www.dogrescuenewcastle.com.au/,https://www.dogrescuenewcastle.com.au/contact,,,
,,"-33.89852235618195, 151.1742312735911",Cat Protection Society NSW Inc (Newtown),https://catprotection.org.au/,info@catprotection.org.au,,,
,,,"AWDRI, Australian Working Dog Rescue Int. (Pitt Town)",https://www.workingdogrescue.com.au/,contact@awdri.com.au,,,
,,,Deaf dogs Rescue Australia,https://www.deafdogsrescueaustralia.org/,adminteam@deafdogsrescueaustralia.info,,,
,,,Staffy Rescue (Sydney),https://www.staffyrescue.org.au/,staffyrescueinc@gmail.com,,,
,,,Urban Kittens,https://www.urbankittens.com/,info@urbankittens.com,,,
