,,,,,,,,
,,,NAME,WEB PAGE,EMAIL,EMAIL 2,EMAIL 3,EMAIL 4
,,,,,,,,
,,,,,,,,
,,,Animal Protection Party,https://www.animalprotectionparty.ca/,contact@animalprotectionparty.ca,liz@animalprotectionparty.ca,,
,,"50.98782224584229, -113.96191534891005",Alberta Animal Rescue Crew Society,https://aarcs.ca/,info@aarcs.ca,,,
,,"53.50781728952932, -113.53685338017951",Alberta Helping Animals Society,http://www.ahas.ca/,AlbertaHelpingAnimalsSociety@gmail.com,,,
,,"50.13473517142964, -121.00329147831437",Angel's Animal Rescue Society,https://angelsanimalrescue.ca/,aarsrescue@gmail.com,,,
,,,Angels of Hope Animal Rescue Inc.,https://www.angelsofhoperescue.com/,angelsofhope2010@gmail.com,,,
,,"43.73787697469172, -79.53872503666501",Animal Care Zone,https://www.animalcarezone.org/,info@animalcarezone.org,,,
,,,Animal Haven Rescue League,http://www.animalhavenrescue.ca/,animalhavenrescue@gmail.com,,,
,,"43.64864394991257, -79.38174161349671",Animal Justice Canada,https://animaljustice.ca/,info@animaljustice.ca,,,
,,"49.150563994426356, -119.44111302347552",Animal Legacy Foundation,,INFO@ANIMALLEGACYFOUNDATION.ORG,,,
,,"55.28746281234704, -114.76022575930038",Animal Rescue Committee of Slave Lake,https://www.arcofsl.com/,info@arcofsl.com,,,
,,"53.61011217337584, -113.42262305171525",Animal Rescue Transfer Society,,ANIMALRESCUETRANSFER@GMAIL.COM,,,
,,"53.99029341390692, -111.4660088025076",Animal Shelter & Adoption Society for St. Paul & Area,https://stpaulanimalshelter.org/,PAWSOFGOLD@LIVE.CA,,,
,,"45.53157339389081, -73.60367194683369",Animals of Distinction Arts Society,https://animalsofdistinction.org/,JIM@ANIMALSOFDISTINCTION.ORG,,,
,,"52.285179904300755, -113.83129294678199",Audrey's League for Wayward Animals Yearning for Safety,,director@alwaysanimalrescue.ca,alwaysanimalrescue@gmail.com,,
,,"49.22574172704019, -122.99312041535451",ACTION FOR ANIMALS IN DISTRESS SOCIETY,https://actionforanimals.net/,info@actionforanimals.net,,,
,,,ACTION VOLUNTEERS FOR ANIMALS,https://www.avacats.org/,AVA2009@ACTIONVOLUNTEERSFORANIMALS.COM,,,
,,"45.45744645219821, -73.86212823688845",ADOPTION ANIMALE ROSIE,http://rosieanimaladoption.org/,ANNEDUBE@HOTMAIL.COM,,,
,,"49.335426540329614, -123.10108477946748",ANIMAL ADVOCATES SOCIETY of BC,http://www.animaladvocates.com/,ANIMALADVOCATES@TELUS.NET,,,
,,,ANIMAL AID & ADOPTION,http://animalaidandadoption.com/,ANIMALAIDADOPT@GMAIL.COM,,,
,,"43.535674756863806, -79.66711414581252",ANIMAL AID FOUNDATION,http://www.animalaidfoundation.ca/,INFO@ANIMALAIDFOUNDATION.CA,,,
,,"42.77926298650935, -81.19909033876316",ANIMAL AIDE ASSOCIATION OF ST. THOMAS-ELGIN,http://www.animalaidecats.com/,animalaidestthomas@gmail.com,,,
,,"46.52948570148378, -84.37963568846946",ANIMAL ASSISTANCE GROUP,http://www.animalassistancegroup.org/,CHERYLALBERTA@HOTMAIL.COM,,,
