NOME ASSOCIAZIONE,LOCALITÀ,INDIRIZZO,EMAIL,TELEFONO,SITO WEB,FACEBOOK,INSTAGRAM
"ENPA - Ente Nazionale Protezione Animali, sez. Bergamo",Bergamo (BG),"Via Giuseppe Mangili 4, 24121 Bergamo",bergamo@enpa.org,035 301764,https://enpabergamo.it,https://www.facebook.com/EnpaBergamo,https://www.instagram.com/enpabergamo
OIPA Italia ODV - Sezione Bergamo,Verdello (BG),"Via Volta 8, 24020 Torre Boldone (sede operativa)",bergamo@oipa.org,,https://www.oipa.org/italia/delegazioni/bergamo/,https://www.facebook.com/p/Oipa-Bergamo-Odv-100078962882189,
OIPA - Nucleo Guardie Eco-Zoofile Bergamo,Bergamo (BG),,bergamo@oipa.org,,https://www.guardiezoofile.info/nuclei/lombardia/bergamo/,https://www.facebook.com/p/Guardie-Eco-Zoofile-OIPA-Bergamo-100064551257781,
"LAV - Lega Anti Vivisezione, Sportello Bergamo",Bergamo (BG),"Via Borgo Palazzo 106, 24125 Bergamo",bergamo@lav.it,344 1362519,https://www.lav.it,https://www.facebook.com/LAVonlus,
Il Rifugio del Cane ODV,Seriate (BG),"Via Francesco Nullo 30, 24068 Seriate",info@ilrifugiodelcane.org,035 298651,https://www.ilrifugiodelcane.org,https://www.facebook.com/IlRifugioDelCane,
Fondazione Baratieri ETS ONLUS,Arzago d'Adda (BG),"Strada Consortile alla Scortica, 24040 Arzago d'Adda",rifugio@fondazionebaratieri.it,347 7801076,https://fondazionebaratieriets.it,https://www.facebook.com/PaginaUfficialeRifugioBaratieri,
Dimensione Animale Bergamo ODV,Levate (BG),"Strada Provinciale 150 s.n.c., 24040 Levate",dimensioneanimalebg@gmail.com,340 7887738,https://dimensioneanimalebergamo.org,https://www.facebook.com/dimensioneanimalebg,https://www.instagram.com/dimensioneanimalebg
AnimaLibera ODV - Canile di Grignano,Brembate (BG),"Via Brugarole 100, fraz. Grignano, 24041 Brembate",animalibera.appelli@gmail.com,338 4524334,https://www.animaliberaonlus.it,https://www.facebook.com/CanilediGrignanoAnimalibera,https://www.instagram.com/animaliberaodv
"Milano Zoofila ODV - Oasi del Cane, Grignano",Brembate (BG),"Via Brugarole 100, fraz. Grignano, 24041 Brembate",adozioni@milanozoofila.org,338 1929698,https://milanozoofila.org,https://www.facebook.com/milanozoofila,
Canile di Colzate - Ass. Poldo ODV,Colzate (BG),"Via Bonfanti 110, 24020 Colzate",canilecolzate@hotmail.it,348 4400305,https://caniledicolzate.wixsite.com/canile-colzate,https://www.facebook.com/caniledicolzate,
Canile di Calvenzano,Calvenzano (BG),"Via Roma, Calvenzano",info@canilecalvenzano.com,0363 45388,,,
ENPA Bergamo - Gattile,Bergamo (BG),"Via Borfuro 2, 24121 Bergamo",bergamo@enpa.org,035 246008,https://enpabergamo.it,https://www.facebook.com/EnpaBergamo,https://www.instagram.com/enpabergamo
Amici del Gattile ONLUS - Gattile di Treviglio,Treviglio (BG),"Via Cappuccini snc (ang. Via Pontirolo 31), 24047 Treviglio",gattiletreviglio@gmail.com,350 5392576,https://www.gattiletreviglio.it,https://www.facebook.com/GattilediTreviglio,
Amici per i Baffi ODV - Rifugio Oasi Gatti,Madone (BG),"Via A. Manzoni 24, 24040 Madone",,,,https://www.facebook.com/amiciperibaffi,
Gatti di Bergamo,Bergamo (BG),24125 Bergamo,mici@gattidibergamo.it,349 7164498,,,
I Gatti di Anna ODV,Verdello (BG),"Cascina lungo Provinciale Francesca, Verdello",igattidiannabergamo@gmail.com,333 1069674,,https://www.facebook.com/GattiDiAnnaBergamo,https://www.instagram.com/i_gatti_di_anna_bergamo
Gattile di Caravaggio,Caravaggio (BG),,,340 7890170,,,
"AIPA - Associazione Italiana Protezione Animali, sez. Bergamo",Bergamo (BG),"ASST Papa Giovanni XXIII, Piazza O.M.S. 1, 24127 Bergamo",aipa.bergamo@gmail.com,,https://www.aipabergamo.com,,
Il Cercapadrone - sez. Bergamo,Bergamo (BG),,bergamo@ilcercapadroneonlus.it,333 6353844,,,
Stragatti R. ONLUS,Bergamo (BG),,,,,,
Mici per Amici,Bergamo (BG),,amicidikika@katamail.com,,,,
Rete Territoriale Felini Liberi - Media e Alta Valle Seriana,Clusone / Valle Seriana (BG),"Pineta di Clusone, loc. Busgarina (progetto 'I Gatti nel Bosco')",bergamo@enpa.org,,https://enpabergamo.it,,
I Pelosetti di Silvana,Bergamo (BG),,,,https://www.ipelosettidisilvana.com,,
