,,,,,,,
Name ,Location,Address,email,phone,web,FB,IG
,,,,,,,
A.NI.T.A. - Associazione Nicese Tutela Animali,Nizza Monferrato (AT),"Via M. Tacca 135, 14049 Nizza Monferrato",,,,,
A.R.C.A. San Damiano d'Asti,San Damiano d'Asti (AT),,,,,,
A.T.A. - PC Alessandria Camino,Camino (AL),,,,,,
"Amici degli Animali ""Gustavo Allara"" ODV",Collegno (TO),"Strada della Varda 53, 10093 Collegno",,011/4156326,,https://www.facebook.com/ilcascinotto,
Amici dei Gatti Galliate ONLUS,Galliate (NO),"Via del Piaggio 57, 28067 Galliate",info@amicideigatti.org,335-7569651,https://www.amicideigatti.org,https://www.facebook.com/groups/319038498135715,
Amici dei Mici ODV Savigliano,Savigliano (CN),"Via Galimberti 10-12, Savigliano",,335 230595,https://amicideimicisavigliano.org,https://www.facebook.com/amicideimicisavigliano,https://www.instagram.com/amicideimicisavigliano
Amici del Cane ODV Domodossola,Domodossola (VB),"Regione Nosere - Via Polveriera, 28845 Domodossola",amicidelcanedomodossola@hotmail.it,331 5410437,https://amicidelcanedomo.wixsite.com/canile,https://www.facebook.com/p/Amici-del-Cane-Canile-di-Domodossola-100064917541629,
Amici del Cane Omegna,Omegna (VB),"Via Comoli 106-186, 28887 Omegna",,0323-861198,,,
Amici del Rifugio di Cavour,Cavour (TO),"Via Barrata 34, 10061 Cavour",,339 4566332,https://rifugiodicavour.it,,
Amici di Zampa Alba ONLUS,Alba (CN),"Via Vivaro 17, Loc. Toppino, 12051 Alba",amicidizampa@tiscali.it,335 6915647,https://amicidizampa.org,,
Amico Randagio ODV,Vercelli (VC),,info@amicorandagio.it,,https://www.amicorandagio.it,https://www.facebook.com/coloniafelinavercelli,
Animal SOS ODV,Carmagnola (TO),,info@animal-sos.it,339 3018042,https://www.voltoweb.it/animalsos,https://www.facebook.com/AnimalSOSonlus,
Animali Senza Confini,Coazze (TO),,,,,,
ASPA - Animali Solo per Amore ODV,Biella (BI),"Via Orfanotrofio 16, 13900 Biella / Via per Castelletto Cervo 407/A, Cossato",,015 9842509,https://www.aspaonlus.it,,
