,,,,,,,,
,,,MAP,NAME,WEB,EMAIL,,
,,,,,,,,
,,ALASKA,,,,,,
,,,"-32.118988555064725, 115.9552860115941",Alaska Humane Society ,http://www.adopt-a-cat.org/,ahs@adopt-a-cat.org, Adoptacat907@gmail.com,
,,,,Alaska Krazy Kats Cat Rescue and Kitty Adoptions,https://www.facebook.com/profile.php?id=100069568247747,krazykatsrescue@gmail.com,,
,,,,Friends of Pets (Anchorage) ,https://friendsofpets.org/,mail@friendsofpets.org,,
,,,,Kitty and K-9 Connection - A New Leash on Life (Anchorage) ,http://www.kittyandk-9connection.org/,kkc.amberj@yahoo.com,kkc.carol@alaska.net,
,,,"61.18027954940893, -149.8358419574704",Mojo’s Hope (Anchorage) ,https://www.mojoshope.org/,mojoshope@gmail.com,,
,,,,Bethel Friends of Canines ,https://www.bethelfriendsofcanines.com/,bethelfriendsofcanines2011@gmail.com,,
,,,,ACAT - Alaska Cat Adoption Team (Chugiak) ,https://www.alaskacatadoptionteam.org/,acat@alaskacatadoptionteam.org,,
,,,,Alaska Equine Rescue,https://alaskaequinerescue.com/,https://alaskaequinerescue.com/contact-us,,
,,,,Arctic German Shepard Rescue (Fairbanks) ,http://agsrescue.com/,agsrescue@gmail.com,,
,,,,Pet Pride (Fairbanks) ,https://www.facebook.com/petpridefairbanks/,petpridefairbanks@gmail.com,,
,,,"59.2124013943568, -135.44412262057696",Haines Animal Rescue Kennel ,https://harkalaska.org/,info@harkalaska.org,,
,,,,Alaska Mindful Paws (AMP),https://www.alaskamindfulpaws.org/,alaskamindfulpaws@gmail.com,,
,,,"58.35942046664734, -134.55163153140546",Juneau Animal Rescue ,https://www.juneauanimalrescue.org/,office@akjar.org,,
,,,,Tinker's Dream (Kake),http://www.tinkers-dream.org/,Marcia@tinkers-dream.org,,
,,,"60.56926927406482, -151.23826030131883",Kenai Animal Shelter ,https://www.kenai.city/animal-control,animal@kenai.city,,
,,,,KPAL - Kenai Peninsula Animal Lovers Rescue ,https://kpalrescue.org/,kpalrescue@gmail.com,,
,,,"55.35833212713834, -131.69383105095312",KHS - Ketchikan Humane Society ,http://www.ketchikanhumanesociety.org/,ktnhumanesociety@yahoo.com,,
,,,"57.80730180577849, -152.369794213557",Humane Society of Kodiak ,https://www.kodiakanimalshelter.org/,kodiakanimalshelter@gmail.com,kodiaksheltermanager@gmail.com,
,,,"60.7304967967869, -151.3013864490746",Alaska's Extended Life Animal Sanctuary,https://www.petfinder.com/member/us/ak/nikiski/alaskas-extended-life-animal-sanctuary-ak15/,aelas@alaska.net,,
,,,"64.80650350152136, -147.5516393899971",Loving Companions Animal Rescue ,http://www.lovingcompanionsanimalrescue.org/,,,
,,,"61.59831116478815, -149.2514411406127",ADPR - Alaska Dog and Puppy Rescue (Palmer),https://akdpr.com/,info@akdpr.com,,
,,,,Valdez City Animal Control ,https://www.valdezak.gov/66/Animal-Shelter,ValdezShelter@ValdezAK.gov,,
