name,city,country,address,postal_code,email,phone,website,_source,_review_needed,_salvage_reason,_file,_reason
L.I.D.A. - Cirié Valli di Lanzo,Cirié (TO),,"Corso Nazioni Unite 32, 10073 Cirié",,,,,clean,no,,,Not found in database
L.I.D.A. - Tutela Felini Torino,Torino (TO),,,,,,,clean,no,,,Not found in database
L.I.D.A. - Sezione Alba-Bra,Bra (CN),,,,,,,clean,no,,,Not found in database
L.I.D.A. - Sezione Carrù-Mondovì-Ceva,Carrù (CN),,,,,,,clean,no,,,Not found in database
L.I.D.A. - Sezione Fossano-Savigliano,Fossano (CN),,,,,,,clean,no,,,Not found in database
L.I.D.A. - Sezione Garessio-Ormea,Garessio (CN),,,,,,,clean,no,,,Not found in database
Gattile di Cuneo (L.I.D.A.),Cuneo (CN),,"Via Barolo 43/a, Cuneo",,,,http://www.gattiledicuneo.it,clean,no,,,Not found in database
L.I.D.A. - Sezione Alessandria,Alessandria (AL),,,,,,,clean,no,,,Not found in database
L.I.D.A. - Sezione Asti,Valfenera (AT),,,,,,,clean,no,,,Not found in database
L.I.D.A. - Sezione Chieri,Chieri (TO),,,,,,,clean,no,,,Not found in database
L.I.D.A. - Sezione Cuneo,Cuneo (CN),,,,,,,clean,no,,,Not found in database
L.I.D.A. - Sezione Novara,Novara (NO),,,,,,,clean,no,,,Not found in database
L.I.D.A. - Sezione Pinerolo,Pinerolo (TO),,"Strada Poirino 101, Pinerolo",,lida.pinerolo@gmail.com,0121 321904,,clean,no,,,Not found in database
L.I.D.A. - Sezione Pino Torinese,Pino Torinese (TO),,,,,,,clean,no,,,Not found in database
L.I.D.A. - Sezione Torino,Torino (TO),,,,,,,clean,no,,,Not found in database
La Cuccia - Associazione per la Protezione degli Animali,Galliate (NO),,"Via Masini 29, Galliate",,,,,clean,no,,,Not found in database
La Fattoria,Vercelli (VC),,"c/o C.I.B.I. S.a.s., Località Larizzate, 13100 Vercelli (VC)",,info@canilevercelli.it,39 0161 213344,canilevercelli.it,clean,no,,,Not found in database
La Rondine - Ass. di Protezione Animali ONLUS,Fossano (CN),,"Frazione Loreto, Via Borgata Castelvecchio 85/A, 12045 Fossano (CN)",,associazionelarondine@libero.it,39 339 351 7215,csvcuneo.it/lida_associazione/,clean,no,,,Not found in database
La Scintilla,Borgomanero (NO),,"Via per Gozzano 68/A, 28021 Borgomanero (NO)",,lascintillaonlus@gmail.com,39 0322 831308,,clean,no,,,Not found in database
La Vie en Rose,Vigone (TO),,"Via del Ruata, 10067 Vigone (TO)",,lavieenrose.rifugio@gmail.com,39 349 397 5981,,clean,no,,,Not found in database
RIFUGIO L'ANELLO DI RE SALOMONE,Piverone (TO),,Strada Boschetto 38,,info@lanellodiresalomone.net,39 335 628 6436,lanellodiresalomone.net,clean,no,,,Not found in database
Le Code Lunghe,Torino (TO),,"Via Chiesa della Salute 6/C, 10147 Torino (TO)",,info@lecodelunghe.it,39 347 114 4944,,clean,no,,,Not found in database
Le Sfigatte,Torino (TO),,,,,,,clean,no,,,Not found in database
Lega Animalista Piemontese,Bosco Marengo (AL),,"Frazione Levata, Cascina Fittavolini 8, 15062 Bosco Marengo (AL)",,lap.alessandria@gmail.com,39 0131 298380,,clean,no,,,Not found in database
Lega Italiana per la Difesa del Gatto,Torino (TO),,"Via Cumiana 27/A, 10141 Torino (TO)",,legatgatto.torino@libero.it,39 011 332000,,clean,no,,,Not found in database
Maramiao - Associazione di Volontariato a Salvaguardia e Tutela dei Felini,Nizza Monferrato (AT),,,,,,,clean,no,,,Not found in database
Micio Villaggio,Collegno (TO),,"Strada Comunale della Berlia 106, 10095 Collegno (TO)",,prenotazionimiciovillaggio@gmail.com,39 333 469 1199,miciovillaggio.org,clean,no,,,Not found in database
Mondo Gatto Torino,Torino (TO),,"Corso Quintino Sella 53, 10131 Torino (TO)",,mondogattotorino@libero.it,39 348 861 9968,mondogattotorino.com,clean,no,,,Not found in database
Nati Liberi,Casale Corte Cerro (VB),,"Via Gramsci 6, 28881 Casale Corte Cerro (VB)",,natiliberi@inwind.it,39 0323 60564,,clean,no,,,Not found in database
Nonsolocuccioli,Givoletto (TO),,"Via Borgonuovo 48, 10040 Givoletto (TO)",,eleonoragiorda@libero.it,39 011 9947545,nonsolocuccioli.org,clean,no,,,Not found in database
Nonsologatti,Casale Monferrato (AL),,"Via Giulio Monteverde 20, 15033 Casale Monferrato (AL)",,associazionenonsologatti@gmail.com,39 335 8232508,comune.casale-monferrato.al.it/nonsologatti,clean,no,,,Not found in database
Oasi degli Animali,Tornaco (NO),,"Via Barbavara 25, Frazione Vignarello, 28070 Tornaco (NO)",,oasideglianimali2012@gmail.com,39 347 163 1588,oasi-degli-animali.webncode.it,clean,no,,,Not found in database
Parco Animalista,Torino (TO),,"Piazza d'Armi, Corso Galileo Ferraris, 10134 Torino (TO)",,info@parcoanimalistapiazzadarmi.it,39 347 279 2458,parcoanimalistapiazzadarmi.it,clean,no,,,Not found in database
Progetto A-mici Animali,Torino (TO),,"Corso Unione Sovietica 355, 10135 Torino (TO)",,progettoamicianimali@gmail.com,39 349 468 1819,,clean,no,,,Not found in database
Progetto Miao-Fido ONLUS,Trecate (NO),,"Via dei Fiori, Zona Bio Parco, Trecate",,info@miaofido.it,345 0436369,miaofido.org,clean,no,,,Not found in database
Protezione Micio ODV,Torino (TO),,"Corso Peschiera 325, 10141 Torino (TO)",,info@protezionemicio.it,39 334 323 1030,protezionemicio.it,clean,no,,,Not found in database
Quattro Zampe nel Cuore,Rovasenda (VC),,"Via Ottavio Rivetti 25, 13030 Rovasenda (VC)",,quattrozampenelcuore.vc@gmail.com,39 347 531 3855,,clean,no,,,Not found in database
Rifugio Argo,Val della Torre (TO),,"Via Gibbione 24, Val della Torre",,valdellatorre@enpa.org,333.6870056,,clean,no,,,Not found in database
Rifugio Martini,Arquata Scrivia (AL),,,,,,,clean,no,,,Not found in database
Rifugio Miao,Orbassano (TO),,"Via Cervetti Cesare 22, Orbassano",,,,,clean,no,,,Not found in database
