name,city,country,address,postal_code,email,phone,website
"EGAR, East Galway Animal Rescue (Loughrea)",,Ireland +353,,,webmaster@egar.org,,http://www.egar.org/
Leitrim Animal Welfare (Drumkeerin),,Ireland +353,,,,,
Ulster Society for the Prevention of Cruelty to Animals,,UK +44,,,enquiries@uspca.co.uk,,https://www.uspca.co.uk/
Dogs Aid Animal Sanctuary (Dublin),,Ireland +353,,,info@dogsaid.ie,,https://dogsaid.ie/
The Irish Blue Cross (Inchicore),,Ireland +353,,,info@bluecross.ie,,
The Animal Foundation,,US +1,,,marketing@animalfoundation.com,,https://animalfoundation.com/
"ISPCA, Irish Society for the Prevention of Cruelty to Animal (Keenagh)",,Ireland +353,,,info@ispca.ie,,https://www.ispca.ie/
Drogheda Animal Rescue (DAR),,Ireland +353,,,info@dar.ie,,http://dar.ie/
Last Hope Animal Charity (Navan),,Ireland +353,,,info@lasthope.ie,,https://www.lasthope.ie/
ASH Animal Rescue (Kiltegan),,Ireland +353,,,ashlm@eircom.net,,http://ashanimalrescue.com/ash/
"RAWR, Rural Animal Welfare Resources",,Ireland +353,,,info@rawr.ie,,https://rawr.ie/
West Cork Animal Welfare Group (Clonakilty),,Ireland +353,,,info@westcorkanimals.com,,https://westcorkanimals.com/
Cork Animal Care Society (Kilmichael),,Ireland +353,,,info@animalcaresociety.ie,,https://www.animalcaresociety.ie/
"LAW, Limerick Animal Welfare (Kilfinane)",,Ireland +353,,,lawsanctuary@gmail.com,,https://www.limerickanimalwelfare.com/
PAWS Animal Rescue (Mullinahone),,Ireland +353,,,info@paws.ie,,https://www.paws.ie/
Waterford SPCA,,Ireland +353,,,ncdspca@gmail.com,,https://www.ispca.ie/member_societies/detail/waterford_spca_ltd
Humane Society of New Zealand Inc. (Greenwoods Corner),,NEW ZELAND +64,,,info@humanesociety.org.nz,,http://humanesociety.org.nz/
SPCA NZ,,,"3/137 North Road, Kaitaia 0482",,,,https://www.spca.nz/
"GSRT, German Shepherd Dog Rescue (North Shore City)",,NEW ZELAND +64,,,info@gsdrescue.org.nz,,https://www.gsdrescue.org.nz/
Wellington Cats Protection League,,NEW ZELAND +64,,,,,https://www.cpl-wellington.org.nz/
Alaska Humane Society,,US +1,,,ahs@adopt-a-cat.org,,http://www.adopt-a-cat.org/
Alaska Krazy Kats Cat Rescue and Kitty Adoptions,,US +1,,,krazykatsrescue@gmail.com,,https://www.facebook.com/profile.php?id=100069568247747
Friends of Pets (Anchorage),,US +1,,,mail@friendsofpets.org,,https://friendsofpets.org/
Kitty and K-9 Connection - A New Leash on Life (Anchorage),,US +1,,,kkc.amberj@yahoo.com,,http://www.kittyandk-9connection.org/
Mojo’s Hope (Anchorage),,US +1,,,mojoshope@gmail.com,,https://www.mojoshope.org/
Bethel Friends of Canines,,US +1,,,bethelfriendsofcanines2011@gmail.com,,https://www.bethelfriendsofcanines.com/
ACAT - Alaska Cat Adoption Team (Chugiak),,US +1,,,acat@alaskacatadoptionteam.org,,https://www.alaskacatadoptionteam.org/
Alaska Equine Rescue,,US +1,,,,,https://alaskaequinerescue.com/
Arctic German Shepard Rescue (Fairbanks),,US +1,,,agsrescue@gmail.com,,http://agsrescue.com/
Pet Pride (Fairbanks),,US +1,,,petpridefairbanks@gmail.com,,https://www.facebook.com/petpridefairbanks/
Haines Animal Rescue Kennel,,US +1,,,info@harkalaska.org,,https://harkalaska.org/
Alaska Mindful Paws (AMP),,US +1,,,alaskamindfulpaws@gmail.com,,https://www.alaskamindfulpaws.org/
Juneau Animal Rescue,,US +1,,,office@akjar.org,,https://www.juneauanimalrescue.org/
Tinker's Dream (Kake),,US +1,,,Marcia@tinkers-dream.org,,http://www.tinkers-dream.org/
WAIF Animal Shelter,,US +1,,,animal@kenai.city,,https://waifanimals.org/
KPAL - Kenai Peninsula Animal Lovers Rescue,,US +1,,,kpalrescue@gmail.com,,https://kpalrescue.org/
KHS - Ketchikan Humane Society,,US +1,,,ktnhumanesociety@yahoo.com,,http://www.ketchikanhumanesociety.org/
Humane Society of Kodiak,,US +1,,,kodiakanimalshelter@gmail.com,,https://www.kodiakanimalshelter.org/
Alaska's Extended Life Animal Sanctuary,,US +1,,,aelas@alaska.net,,https://www.petfinder.com/member/us/ak/nikiski/alaskas-extended-life-animal-sanctuary-ak15/
Our Companions Animal Rescue,,US +1,,,helpline@ourcompanions.org,,https://www.ourcompanions.org/
ADPR - Alaska Dog and Puppy Rescue (Palmer),,US +1,,,info@akdpr.com,,https://akdpr.com/
Valdez City Animal Control,,US +1,,,ValdezShelter@ValdezAK.gov,,https://www.valdezak.gov/66/Animal-Shelter
Clear Creek Cat Rescue (Wasilla),,US +1,,,clearcreekkitties@gmail.com,,http://clearcreekcatrescue.org/
Buckeye Animal Rescue and Kennel (BARK),,US +1,,,bark.animalrescue@yahoo.com,,https://buckeyeanimalrescueandkennel.webs.com/
SAINT - Saving Animals In Need Together,,US +1,,,contact@bhcsaint.org,,https://www.bhcsaint.org/
Valley Humane Society (Casa Grande),,US +1,,,Valleyhumane@yahoo.com,,https://www.valleyhumane.net/
Healing Hearts Animal Rescue (Cave Creek),,US +1,,,JBrumbaugh@healingheartsaz.org,,https://healingheartsaz.org/
Hoof and Paw Rescue Inc,,US +1,,,yvette@hoofandpawrescue.com,,http://www.hoofandpawrescue.com/
Cooper's Chance Animal Rescue (Chandler),,US +1,,,cooperschance@yahoo.com,,https://cooperschance.org/
Cow Cats Pet Adoption Center (Chandler),,US +1,,,meow@cowcats.com,,http://www.cowcats.com/home
Hope for Cats (Chandler),,US +1,,,hopeforcats@cox.net,,http://www.hopeforcats.org/
Kattered Tails,,US +1,,,katteredtails@colello.org,,https://katteredtails.com/
RAIN - Rescuing Animals in Need formerly Kit Kat Rescue (Chandler),,US +1,,,azrainrescue@gmail.com,,https://azrain.rescuegroups.org/
Saving One Life (Chandler),,US +1,,,info@savingonelife.org,,https://www.savingonelife.org/
Chino Valley Animal Shelter,,US +1,,,cvas@chinoaz.net,,https://www.facebook.com/cvanimalshelter/
LOLA- Lots of Love For Animals (Chloride),,US +1,,,info@lolathesanctuary.org,,https://lotsofloveforanimals.org/
Pets Return Home,,US +1,,,info@petsreturnhome.org,,www.petsreturnhome.org
Star Ranch Animal Sanctuary (Concho),,US +1,,,Info@StarRanchAnimalSanctuary.org,,https://starranchanimalsanctuary.com/
SOS Cat Rescue AZ - Saving Orphans and Seniors (Cortaro),,US +1,,,info@SOScatrescueAZ.org,,https://soscatrescueaz.org/
VVHS - Verde Valley Humane Society,,US +1,,,frontdesk@verdevalleyhumanesociety.org,,https://verdevalleyhumane.org/
ACDR - Arizona Cattle Dog Rescue (Flagstaff),,US +1,,,acdr@arizonacattledogrescue.org,,https://arizonacattledogrescue.org/
Lanai Cat Sanctuary,,US +1,,,info@arkcatsanctuary.org,,https://lanaicatsanctuary.org/
Coconino Humane Association (Flagstaff),,US +1,,,kindcrew@coconinohumane.org,,https://www.coconinohumane.org/
High Country Humane,,US +1,,,support@highcountryhumane.org,,https://highcountryhumane.org/
