name,city,country,address,postal_code,email,phone,website,_source,_review_needed,_salvage_reason,_file
"EGAR, East Galway Animal Rescue (Loughrea)",,Ireland +353,,,webmaster@egar.org,,http://www.egar.org/,clean,no,,
Leitrim Animal Welfare (Drumkeerin),,Ireland +353,,,,,,clean,no,,
Ulster Society for the Prevention of Cruelty to Animals,,UK +44,,,enquiries@uspca.co.uk,,https://www.uspca.co.uk/,clean,no,,
Dogs Aid Animal Sanctuary (Dublin),,Ireland +353,,,info@dogsaid.ie,,https://dogsaid.ie/,clean,no,,
The Irish Blue Cross (Inchicore),,Ireland +353,,,info@bluecross.ie,,,clean,no,,
The Animal Foundation,,US +1,,,marketing@animalfoundation.com,,https://animalfoundation.com/,clean,no,,
"ISPCA, Irish Society for the Prevention of Cruelty to Animal (Keenagh)",,Ireland +353,,,info@ispca.ie,,https://www.ispca.ie/,clean,no,,
Drogheda Animal Rescue (DAR),,Ireland +353,,,info@dar.ie,,http://dar.ie/,clean,no,,
Last Hope Animal Charity (Navan),,Ireland +353,,,info@lasthope.ie,,https://www.lasthope.ie/,clean,no,,
ASH Animal Rescue (Kiltegan),,Ireland +353,,,ashlm@eircom.net,,http://ashanimalrescue.com/ash/,clean,no,,
"RAWR, Rural Animal Welfare Resources",,Ireland +353,,,info@rawr.ie,,https://rawr.ie/,clean,no,,
West Cork Animal Welfare Group (Clonakilty),,Ireland +353,,,info@westcorkanimals.com,,https://westcorkanimals.com/,clean,no,,
Cork Animal Care Society (Kilmichael),,Ireland +353,,,info@animalcaresociety.ie,,https://www.animalcaresociety.ie/,clean,no,,
"LAW, Limerick Animal Welfare (Kilfinane)",,Ireland +353,,,lawsanctuary@gmail.com,,https://www.limerickanimalwelfare.com/,clean,no,,
PAWS Animal Rescue (Mullinahone),,Ireland +353,,,info@paws.ie,,https://www.paws.ie/,clean,no,,
Waterford SPCA,,Ireland +353,,,ncdspca@gmail.com,,https://www.ispca.ie/member_societies/detail/waterford_spca_ltd,clean,no,,
