Name,Address,Lat,Lon,Email,Website,Facebook,Extra1,Extra2
Central Coast Animal Care Facility,,22.5016573,-81.1329703,ccacfpetadoptions@gmail.com,https://www.facebook.com/Ccacf/,,USA0789,AUSTRALIA +61
Animal Rights and Rescue Group Inc. (Lismore),,22.5016573,-81.1329703,nonkill@animalrights.org.au,https://animalrights.org.au/,,USA0797,AUSTRALIA +61
Caboolture and District Animal Welfare Inc,,22.5016573,-81.1329703,teamcadawi@gmail.com,https://caboolturebribieanimalwelfare.com.au/,,USA0812,AUSTRALIA +61
"AWLQ, Animal Welfare League Queensland (Helensvale Town Centre)",,22.5016573,-81.1329703,communications@awlqld.com.au,https://www.awlqld.com.au/,,USA0825,AUSTRALIA +61
Cindys Promise - rescue & rehab inc,,22.5016573,-81.1329703,admin@cindyspromise.org,https://www.cindyspromise.org/,,USA0842,AUSTRALIA +61
Dreamer's Hen Rescue,,22.5016573,-81.1329703,Dhenrescue@gmail.com,https://www.facebook.com/dreamershenrescue/,,USA0844,AUSTRALIA +61
ACT Animal Rescue (Canberra),,22.5016573,-81.1329703,info@petrescue.org.au,https://www.petrescue.com.au/,,USA0786,AUSTRALIA +61
"ARF, ACT Rescue and Foster (Canberra)",,22.5016573,-81.1329703,enquiries@fosterdogs.org,https://fosterdogs.org/,,USA0787,AUSTRALIA +61
Border Small Animal Rescue,,22.5016573,-81.1329703,bordersmallanimalrescue@hotmail.com,https://www.facebook.com/bordersmallanimalrescue/,,USA0788,AUSTRALIA +61
Denise At Paws Inc,,22.5016573,-81.1329703,info@deniseatpaws.com.au,https://www.deniseatpaws.com.au/,,USA0791,AUSTRALIA +61
Sydney Dogs and Cats Home (Carlton),,22.5016573,-81.1329703,info@sydneydogsandcatshome.org,https://sydneydogsandcatshome.org/,,USA0793,AUSTRALIA +61
SoCares Animal Care Facility,,22.5016573,-81.1329703,socaresacf@gmail.com,https://www.socaresanimalcarefacility.com.au/,,USA0794,AUSTRALIA +61
HappyPaws Haven (Eatonsville),,22.5016573,-81.1329703,//info@happypawshaven.com.au/,https://www.happypawshaven.com.au/,,USA0795,AUSTRALIA +61
Monikas Doggie Rescue (Ingleside),,22.5016573,-81.1329703,admin@doggierescue.com,https://doggierescue.com/,,USA0796,AUSTRALIA +61
Friends Of The Hound Inc. (Murwillumbah South),,22.5016573,-81.1329703,enquiries@friendsofthehound.org.au,https://www.friendsofthehound.org.au/,,USA0799,AUSTRALIA +61
Dog Rescue Newcastle,,22.5016573,-81.1329703,,https://www.dogrescuenewcastle.com.au/,,USA0800,AUSTRALIA +61
Cat Protection Society NSW Inc (Newtown),,22.5016573,-81.1329703,info@catprotection.org.au,https://catprotection.org.au/,,USA0801,AUSTRALIA +61
