Name,Address,Lat,Lon,Email,Website,Facebook,Extra1,Extra2
Small Animal Rescue Society of BC (SARS BC),,,,info@smallanimalrescue.org,http://smallanimalrescue.org/,,CAN0180,CANADA +1
Miramichi Branch SPCA,,,,sheltermanager@spcamiramichi.com,https://www.spcamiramichi.com/,,CAN0196,CANADA +1
Rocky Organization for Animal Rescue (ROAR Society),,,,roarsociety@yahoo.ca,http://www.roarsociety.ca/index.html,,CAN0106,CANADA +1
RESEAU SECOURS ANIMAL (R.S.A.)/ANIMAL RESCUE NETWORK (A.R.N.),,,,communications.rsa.arn@gmail.com,http://www.animalrescuenetwork.org/,,CAN0107,CANADA +1
Saving Animals From Euthanasia Team Edmonton Society,,,,SAFETEAMFUNDRAISER@HOTMAIL.COM,http://www.safeteam.ca/,,CAN0109,CANADA +1
Society of Semiahmoo Animal League,,,,KERYN@SALI.CA,http://www.sali.ca/,,CAN0110,CANADA +1
Swan Valley Animal Protection League Incorporated,,,,KAT31@LIVE.CA,,,CAN0111,CANADA +1
SECOND CHANCE ANIMAL RESCUE OF WINDSOR-ESSEX COUNTY,,,,info@scarescue.org,http://www.scarescue.org/,,CAN0113,CANADA +1
SECOND CHANCE ANIMAL RESCUE SOCIETY,,,,scars@scarscare.ca,http://www.scarscare.ca/,,CAN0114,CANADA +1
SENIOR ANIMALS IN NEED TODAY SOCIETY,,,,CJHINE@SHAW.CA,http://www.saintsrescue.ca/,,CAN0115,CANADA +1
SOCIETE QUEBECOISE POUR LA DEFENCE DES ANIMAUX QUEBEC SOCIETY FOR THE DEFENCE OF ANIMALS,,,,SQDA1976@GMAIL.COM,http://www.sqda.org/,,CAN0116,CANADA +1
SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS SWIFT CURRENT BRANCH,,,,DQUEBEC@SASKTEL.NET,http://www.spcaswiftcurrent.com/,,CAN0117,CANADA +1
STERI-ANIMAL,,,,LINDA.H@SYMPATICO.CA,http://www.steri-animal.petfinder.org/,,CAN0118,CANADA +1
T.L.C. ANIMAL AID,,,,BAXIBOL@YAHOO.CA,http://tlcanimalaid.org/,,CAN0119,CANADA +1
Tails to Tell Animal Rescue Shelter Ltd.,,,,INFO@TAILSTOTELL.CA,http://www.tailstotell.ca/,,CAN0120,CANADA +1
