Name,Address,Lat,Lon,Email,Website,Facebook,Extra1,Extra2
"EGAR, East Galway Animal Rescue (Loughrea)",,53.4057034,-6.0642652,webmaster@egar.org,http://www.egar.org/,,IRL0001,Ireland +353
Leitrim Animal Welfare (Drumkeerin),,53.4057034,-6.0642652,,,,IRL0002,Ireland +353
Dogs Aid Animal Sanctuary (Dublin),,53.4057034,-6.0642652,info@dogsaid.ie,https://dogsaid.ie/,,IRL0003,Ireland +353
The Irish Blue Cross (Inchicore),,53.4057034,-6.0642652,info@bluecross.ie,,,IRL0004,Ireland +353
"ISPCA, Irish Society for the Prevention of Cruelty to Animal (Keenagh)",,53.4057034,-6.0642652,info@ispca.ie,https://www.ispca.ie/,,IRL0005,Ireland +353
Drogheda Animal Rescue (DAR),,53.4057034,-6.0642652,info@dar.ie,http://dar.ie/,,IRL0006,Ireland +353
Last Hope Animal Charity (Navan),,53.4057034,-6.0642652,info@lasthope.ie,https://www.lasthope.ie/,,IRL0007,Ireland +353
"RAWR, Rural Animal Welfare Resources",,53.4057034,-6.0642652,info@rawr.ie,https://rawr.ie/,,IRL0009,Ireland +353
ASH Animal Rescue (Kiltegan),,53.4057034,-6.0642652,ashlm@eircom.net,http://ashanimalrescue.com/ash/,,IRL0008,Ireland +353
West Cork Animal Welfare Group (Clonakilty),,53.4057034,-6.0642652,info@westcorkanimals.com,https://westcorkanimals.com/,,IRL0010,Ireland +353
Cork Animal Care Society (Kilmichael),,53.4057034,-6.0642652,info@animalcaresociety.ie,https://www.animalcaresociety.ie/,,IRL0011,Ireland +353
"LAW, Limerick Animal Welfare (Kilfinane)",,53.4057034,-6.0642652,lawsanctuary@gmail.com,https://www.limerickanimalwelfare.com/,,IRL0012,Ireland +353
PAWS Animal Rescue (Mullinahone),,53.4057034,-6.0642652,info@paws.ie,https://www.paws.ie/,,IRL0013,Ireland +353
Waterford SPCA,,53.4057034,-6.0642652,ncdspca@gmail.com,https://www.ispca.ie/member_societies/detail/waterford_spca_ltd,,IRL0014,Ireland +353
