Name,Address,Lat,Lon,Email,Website,Facebook,Extra1,Extra2
WASP VIP / Honorary Member,,41.9005351,12.4568794,,,,ITAVIP0,N/A
Amici Pelosi,,41.8933203,12.4829321,info@waspnest.org,,,ITA0123,Roma
ENPA Roma - Ente Nazionale Protezione Animali,"Via Luigi Bodio 74, 00191 Roma",41.9451474,12.4643868,,https://www.enparoma.org,,ER-ENPA,RM
Canile Comunale di Ponte Marconi,"Via della Magliana 856, 00148 Roma",41.8259241,12.4100901,,https://www.baubau.eu,,CCDPM,RM
"LAV - Lega Anti Vivisezione, sede nazionale Roma","Via Ettore Romagnoli 36, Roma",41.9414945,12.5470633,,https://www.lav.it,,L-LAVSN,RM
ALFA - Ass. Love for Animals ODV,Roma (RM),41.7536374,12.2857399,,https://www.associazione-alfa.org,,A-ALFAO,RM
Rifugio delle Code Felici ONLUS,Roma (RM),41.7536374,12.2857399,,https://www.rifugiocodefelici.it,,RDCFO,RM
Ass. Quintomondo - Animalisti Volontari ONLUS,"Via Castorano 16, Roma",41.9887779,12.5088128,,https://www.nuovacuccia.org,,AQ-AVO,RM
Ass. ASTA ODV,"Via Sante Bargellini 18, Roma",41.9100664,12.546235,,https://www.associazioneasta.org,,AAO,RM
I Gatti di Torpignattara - Colonia Felina Villa De Sanctis,"Via di San Marcellino, Roma",41.8779504,12.5493193,,https://www.igattiditorpignattara.com,,IGDT-CF,RM
Ass. Canili Lazio ODV - Oasi Locatelli Mazzano Romano,Mazzano Romano (RM),42.2053733,12.395276,,,,ACLO-OL,RM
Ass. Animalista Franca Valeri ONLUS,"Via Mosca 110, 00069 Trevignano Romano",42.1597102,12.2379647,,https://www.cani-francavaleri.org,,AAFVO,RM
Ass. ASPA ONLUS,"Via Monte Fumaiolo 12/F, 00061 Anguillara Sabazia",42.0885653,12.2767041,,https://www.aspaanguillara.org,,AAO1,RM
Ass. Pet Village - Roma Sud,"Via Ardeatina Km. 18, Roma",41.5102518,12.5816679,,,,APV-RS,RM
Ass. GrottaferrataFido ONLUS,Grottaferrata (RM),41.7858337,12.6667628,,,,AGO,RM
Rifugio Francoise - Montelibretti,Montelibretti (RM),42.1450271,12.732576,,,,RF-M,RM
Arcipelago 2000 ONLUS,Roma (RM),41.7536374,12.2857399,,https://www.arcipelago2000.it,,A2O,RM
WWF Lazio - Sezione Regionale,"Via Po 25/c, 00198 Roma",41.9139494,12.4947605,,https://www.wwf.it,,WL-SR,RM
Canile Pellini Rachele - Aprilia,"Via Torre del Padiglione 73, 04011 Aprilia",41.5745532,12.7008928,,,,CPR-A,LT
Canile Galileo Galilei - Latina,"Via Bassianese 36, 04100 Latina",41.4451188,12.9403126,,,,CGG-L,LT
