Name,Address,Lat,Lon,Email,Website,Facebook,Extra1,Extra2
Humane Society of New Zealand Inc. (Greenwoods Corner),,,,info@humanesociety.org.nz,http://humanesociety.org.nz/,,NEW0001,NEW ZELAND +64
"GSRT, German Shepherd Dog Rescue (North Shore City)",,,,info@gsdrescue.org.nz,https://www.gsdrescue.org.nz/,,NEW0002,NEW ZELAND +64
Wellington Cats Protection League,,,,,https://www.cpl-wellington.org.nz/,,NEW0003,NEW ZELAND +64
"SPCA Hamilton, New Zealand",,,,,https://www.spca.nz/,,NEW0007,NEW ZELAND +64
"SPCA  Kaitaia, New Zeland",,,,,https://www.spca.nz/,,NEW0004,NEW ZELAND +64
"SPCA Whangarei, New Zeland",,,,,https://www.spca.nz/,,NEW0005,NEW ZELAND +64
"SPCA Auckland, New Zeland",,,,,https://www.spca.nz/,,NEW0006,NEW ZELAND +64
"SPCA Rotorua, New Zealand",,,,,https://www.spca.nz/,,NEW0008,NEW ZELAND +64
"SPCA New Plymouth, New Zealand",,,,,https://www.spca.nz/,,NEW0009,NEW ZELAND +64
"SPCA Taumarunui, New Zealand",,,,,https://www.spca.nz/,,NEW0010,NEW ZELAND +64
"SPCA Waipukurau, New Zealand",,,,,https://www.spca.nz/,,NEW0011,NEW ZELAND +64
"SPCA Dannevirke, New Zealand",,,,,https://www.spca.nz/,,NEW0012,NEW ZELAND +64
"SPCA Palmerston North, New Zealand",,,,,https://www.spca.nz/,,NEW0013,NEW ZELAND +64
"SPCA Christchurch, New Zealand",,,,,https://www.spca.nz/,,NEW0014,NEW ZELAND +64
"SPCA Queenstown, New Zealand",,,,,https://www.spca.nz/,,NEW0015,NEW ZELAND +64
"SPCA Invercargill, New Zealand",,,,,https://www.spca.nz/,,NEW0016,NEW ZELAND +64
