Name,Address,Lat,Lon,Email,Website,Facebook,Extra1,Extra2
UK Organization - City of London,Leadenhall Street,51.51310487,-0.07928412181,,,,UK0002,City of London
UK Organization - Greater London,Ponsard Road,51.53124094,-0.232781662,,,,UK0003,Greater London
UK Organization - North Devon,Knowstone,50.9630167,-3.715010645,,,,UK0012,North Devon
UK Organization - Montrose,Strathmore Place,56.71494002,-2.468768029,,,,UK0013,Montrose
UK Organization - Breckland,Nuns' Bridges Road,52.40634915,0.7521792021,,,,UK0014,Breckland
UK Organization - Maidstone,Wierton Road,51.2210767,0.5514105181,,,,UK0015,Maidstone
UK Organization - Wealden,Isle of Thorns,51.05516347,0.02285779325,,,,UK0016,Wealden
UK Organization - Mole Valley,Springfield Drive,51.30646228,-0.342557441,,,,UK0017,Mole Valley
UK Organization - Hayle,Market Square,50.19172954,-5.408425078,,,,UK0018,Hayle
UK Organization - Waverley,The Old Mill,51.18560542,-0.6187929439,,,,UK0019,Waverley
UK Organization - Pontypridd,Y Graig,51.58703339,-3.336032258,,,,UK0089,Pontypridd
UK Organization - Rother,Brownbread Street,50.90827262,0.3825005304,,,,UK0090,Rother
UK Organization - Greater London,Queenborough Gardens,51.41638882,0.07865214005,,,,UK0004,Greater London
UK Organization - Greater London,Queenborough Gardens,51.41639389,0.0786537659,,,,UK0005,Greater London
UK Organization - Sandy,Potton Road,52.12235164,-0.2613772445,,,,UK0006,Sandy
UK Organization - Bournemouth,Christchurch Road,50.72850008,-1.83295871,,,,UK0007,Bournemouth
UK Organization - Greater London,Old Gloucester Street,51.52079252,-0.1220503075,,,,UK0008,Greater London
UK Organization - Bromsgrove,Wildmoor Lane,52.37791166,-2.055527074,,,,UK0009,Bromsgrove
UK Organization - Horsham,Carfax,51.06352319,-0.3279854185,,,,UK0010,Horsham
UK Organization - Wealden,High Street,50.97411585,0.09774260372,,,,UK0011,Wealden
UK Organization - Bradford,Halifax Road,53.83994543,-1.928468587,,,,UK0001,Bradford
UK Organization - Greater London,Wakley Street,51.53032729,-0.1022436881,,,,UK0020,Greater London
UK Organization - Buckinghamshire,Hedgerley Lane,51.58338079,-0.604949839,,,,UK0021,Buckinghamshire
UK Organization - Greater London,Stable Way,51.51390631,-0.2227037143,,,,UK0022,Greater London
UK Organization - Somerset,Mounter's Hill,50.86384913,-3.030402073,,,,UK0023,Somerset
UK Organization - Manchester,Great Ancoats Street,53.48107901,-2.226142893,,,,UK0024,Manchester
UK Organization - Peterborough,Bakewell Road,52.54046033,-0.3152916265,,,,UK0025,Peterborough
UK Organization - City of Nottingham,Canal Street,52.94981123,-1.142057199,,,,UK0026,City of Nottingham
UK Organization - East Lindsey,Scrub Lane,53.30656766,0.09946769842,,,,UK0027,East Lindsey
UK Organization - Broadland,Hall Lane,52.70394774,1.33720809,,,,UK0028,Broadland
UK Organization - Buckinghamshire,Slad Lane,51.68682232,-0.7995115339,,,,UK0029,Buckinghamshire
UK Organization - Guildford,Halfway Lane,51.18584336,-0.63305054,,,,UK0030,Guildford
UK Organization - Wealden,High Street,50.97410501,0.09771624593,,,,UK0031,Wealden
UK Organization - Waverley,Flambard Way,51.18433191,-0.6166045277,,,,UK0032,Waverley
UK Organization - Warrington,Knutsford Road,53.36705117,-2.520929893,,,,UK0033,Warrington
UK Organization - Cornwall,Looe Hill,50.36541517,-4.41347223,,,,UK0034,Cornwall
UK Organization - Hertsmere,North Western Avenue,51.65545985,-0.345818901,,,,UK0035,Hertsmere
UK Organization - City of Westminster,Crawford Street,51.51987088,-0.1596388509,,,,UK0036,City of Westminster
UK Organization - Sunderland,North Hylton Road,54.92271732,-1.419067984,,,,UK0037,Sunderland
UK Organization - Greater London,Battersea Park Road,51.47746675,-0.1464675187,,,,UK0038,Greater London
UK Organization - Lewes,The Broyle,50.90926714,0.1035360101,,,,UK0039,Lewes
UK Organization - South Norfolk,The Street,52.52440605,1.219640493,,,,UK0040,South Norfolk
UK Organization - West Berkshire,Newbury Road,51.4883561,-1.486841042,,,,UK0041,West Berkshire
UK Organization - Lewes,Ditchling Road,50.97122708,-0.09075733908,,,,UK0042,Lewes
UK Organization - Greater London,Royal Oak Yard,51.49883617,-0.08348644516,,,,UK0043,Greater London
UK Organization - Dunfermline,Halbeath Bypass,56.0829762,-3.401368543,,,,UK0044,Dunfermline
UK Organization - Somerset,New Road,51.20593867,-2.963914373,,,,UK0045,Somerset
UK Organization - Trafford,Bridgewater Way,53.43602335,-2.309643455,,,,UK0046,Trafford
UK Organization - City of London,Ludgate Hill,51.51392174,-0.1027807309,,,,UK0047,City of London
UK Organization - Surrey,Felix Lane,51.39332913,-0.4299956273,,,,UK0048,Surrey
UK Organization - Edenbridge,Hartfield Road,51.17355455,0.08513701155,,,,UK0049,Edenbridge
UK Organization - Rotherham,Radford Close,53.43979196,-1.259025813,,,,UK0050,Rotherham
UK Organization - Aylesbury,Aston Road,51.76627082,-0.9210802795,,,,UK0051,Aylesbury
UK Organization - Newry,Carnbane East Industrial Estate,54.19616195,-6.34591018,,,,UK0052,Newry
UK Organization - Mole Valley,Randalls Road,51.30318642,-0.3457750691,,,,UK0053,Mole Valley
UK Organization - Huntingdonshire,London Road,52.29937832,-0.1505407775,,,,UK0054,Huntingdonshire
UK Organization - Surrey Heath,Chertsey Road,51.37394129,-0.6457041947,,,,UK0055,Surrey Heath
UK Organization - Tonbridge and Malling,Bradford Street,51.1940983,0.2731760167,,,,UK0056,Tonbridge and Malling
UK Organization - North Vancouver,West 3rd Street,49.32100032,-123.0971532,,,,UK0057,North Vancouver
UK Organization - Cambridge,Fletcher's Terrace,52.19794001,0.1411598412,,,,UK0058,Cambridge
UK Organization - Leeds,Cardigan Road,53.80966169,-1.574315371,,,,UK0059,Leeds
UK Organization - Greater London,Battersea Park Road,51.47731576,-0.1465029364,,,,UK0060,Greater London
UK Organization - Mole Valley,Springfield Drive,51.30647126,-0.3425581768,,,,UK0061,Mole Valley
UK Organization - City of Westminster,Regent Street,51.51326094,-0.1411089114,,,,UK0062,City of Westminster
UK Organization - Greater London,Crane Grove,51.54646526,-0.1068333503,,,,UK0063,Greater London
UK Organization - Greater London,Durham Street,51.48607916,-0.1186263513,,,,UK0064,Greater London
UK Organization - Dorset,Tout Hill,50.69763155,-2.217145933,,,,UK0065,Dorset
UK Organization - Greater London,Durham Street,51.48606933,-0.1186250957,,,,UK0066,Greater London
