Name,Address,Lat,Lon,Email,Website,Facebook,Extra1,Extra2
Ulster Society for the Prevention of Cruelty to Animals,,22.3799025,114.1303946,enquiries@uspca.co.uk,https://www.uspca.co.uk/,,GBR0001,UK +44
Hedgehog Care,,,,,https://hedgehogcare.org.uk/,,OTH2123,
Hillside Animal Sanctuary,,,,contact@hillside.org.uk,https://www.hillside.org.uk/,,OTH2124,
Last Chance Animal Rescue,,22.3799025,114.1303946,info@eastcountyanimalrescue.org,https://www.lastchanceanimalrescue.co.uk/kennel/dog.php,,GBR0002,UK +44
Lymington Cat and Kitten Rescue,,22.3799025,114.1303946,info@kittylandrescue.org,https://www.lymicat.org/,,GBR0003,UK +44
All Dogs Rescue,,22.3799025,114.1303946,adopt@ilovefamilydog.org,https://www.alldogsrescue.com/,,GBR0004,UK +44
Rochdale Dog Rescue,,22.3799025,114.1303946,info@rocketdogrescue.org,http://www.rochdale-dog-rescue.com/,,GBR0005,UK +44
Feline Welfare,,22.3799025,114.1303946,etwelfare@embarqmail.com,https://www.felinewelfareiow.co.uk/,,GBR0006,UK +44
The Donkey Sanctuary,,22.3799025,114.1303946,,https://www.thedonkeysanctuary.org.uk/,,GBR0007,UK +44
A Purrfect Friend,,22.3799025,114.1303946,apurrfectfriend@gmail.com,https://purrfectfriendcatrescue.org/,,GBR0008,UK +44
Animal Aid,,22.3799025,114.1303946,info@animalaid.org.uk,https://www.animalaid.org.uk/,,GBR0009,UK +44
International Animal Rescue,,22.3799025,114.1303946,info@internationalanimalrescue.org,https://www.internationalanimalrescue.org/,,GBR0010,UK +44
Furry Friends,,,,TINKERBELL300@ICLOUD.COM,https://catrescue.dore/,,GBR0012,UK +44
Monkey Sanctuary,,,,info@wildfutures.org,https://www.monkeysanctuary.org/,,GBR0011,UK +44
"Brooke - Dakar, Senegal",,,,Info.senegal@thebrooke.org,http://www.thebrooke.org/,,GBR0017,UK +44
Brooke - East Africa,,,,brookeea@thebrookeeastafrica.org,http://www.thebrooke.org/,,GBR0018,UK +44
Battersea Dogs & Cats Home (now known as Battersea),,,,info@battersea.org.uk,http://www.battersea.org.uk/,,GBR0013,UK +44
"Brooke - London, UK",,,,info@thebrooke.org,http://www.thebrooke.org/,,GBR0014,UK +44
"Brooke - Amsterdam, Holland",,,,info@brooke.nl,http://www.thebrooke.org/,,GBR0015,UK +44
"Brooke - Lahore, Pakistan",,,,mail@thebrookeindia.org,http://www.thebrooke.org/,,GBR0016,UK +44
Brooke - Ethiopia,,,,info@thebrookeethiopia.org,http://www.thebrooke.org/,,GBR0019,UK +44
"Brooke - Kentucky, USA",,,,Info@BrookeUSA.org,http://www.thebrooke.org/,,GBR0020,UK +44
Mayhew Animal Home,,,,info@mayhewanimalhome.org,https://themayhew.org/,,GBR0021,UK +44
Drinking Fountain Assocation.,,,,ralph.baber@drinkingfountains.org,http://drinkingfountains.org/,,GBR0022,UK +44
"World Animal Protection - Chislehurst, Regno Unito",,,,info@worldanimalprotection.org,https://www.worldanimalprotection.org/,,GBR0023,UK +44
"World Animal Protection - Nairobi, Kenya",,,,africaenquiries@worldanimalprotection.org,https://www.worldanimalprotection.org/,,GBR0024,UK +44
"World Animal Protection - NSW, Australia",,,,info@worldanimalprotection.org.au,https://www.worldanimalprotection.org/,,GBR0025,UK +44
"World Animal Protection - Toronto, Canada",,,,info@worldanimalprotection.ca,https://www.worldanimalprotection.org/,,GBR0026,UK +44
"World Animal Protection - Beijing, China",,,,info@worldanimalprotection.org.cn,https://www.worldanimalprotection.org/,,GBR0027,UK +44
"World Animal Protection - Copenaghen, Denmark",,,,infola@worldanimalprotection.org,https://www.worldanimalprotection.org/,,GBR0028,UK +44
"World Animal Protection - New Delhi, India",,,,info@worldanimalprotection.org.in,https://www.worldanimalprotection.org/,,GBR0029,UK +44
"World Animal Protection - Den Haag, Holland",,,,info@worldanimalprotection.nl,https://www.worldanimalprotection.org/,,GBR0030,UK +44
World Animal Protection - UK,,,,pressofficer@worldanimalprotection.org.uk,https://www.worldanimalprotection.org/,,GBR0031,UK +44
Royal Society for the Protection of Birds,,,,membership@rspb.org.uk,https://rspb.org.uk/,,GBR0032,UK +44
African Conservation Foundation,,,,,https://africanconservation.org/,,GBR0033,UK +44
Amphibian and Reptile Conservation Trust,,,,enquiries@arc-trust.org,https://www.arc-trust.org/,,GBR0034,UK +44
Animal Free Research UK,,,,hello@animalfreeresearchuk.org,https://www.animalfreeresearchuk.org/,,GBR0035,UK +44
The Aspinall Foundation,,,,,https://www.aspinallfoundation.org/,,GBR0036,UK +44
Blue Cross (animal charity),,,,,https://www.bluecross.org.uk/,,GBR0037,UK +44
Born Free Foundation,,,,info@bornfree.org.uk,https://www.bornfree.org.uk/,,GBR0038,UK +44
British Divers Marine Life Rescue,,,,info@bdmlr.org.uk,https://bdmlr.org.uk/,,GBR0039,UK +44
British Hen Welfare Trust,,,,info@bhwt.co.uk,https://www.bhwt.org.uk/,,GBR0040,UK +44
British Herpetological Society,,,,info@thebhs.org,https://www.thebhs.org/,,GBR0041,UK +44
British Trust for Ornithology,,,,info@bto.org,https://www.bto.org/,,GBR0042,UK +44
Buttercups Sanctuary for Goats,,,,,https://www.buttercups.org.uk/,,GBR0043,UK +44
Cats Protection (CP),,,,giftsinwills@cats.org.uk,http://www.cats.org.uk/,,GBR0044,UK +44
Uncaged Campaigns,,,,,http://www.uncaged.co.uk/,,GBR0045,UK +44
The Cinnamon Trust,,,,,https://cinnamon.org.uk/cinnamon-trust/,,GBR0046,UK +44
Compassion in World Farming,,,,,https://www.ciwf.org.uk/,,GBR0047,UK +44
Dogs Trust,,,,info@dogstrust.org.uk,https://www.dogstrust.org.uk/#main-content,,GBR0048,UK +44
Elephant Family,,,,,https://elephant-family.org/,,GBR0049,UK +44
Freedom for Animals,,,,office@freedomforanimals.org.uk,https://www.freedomforanimals.org.uk/,,GBR0050,UK +44
Froglife,,,,info@froglife.org,https://www.froglife.org/,,GBR0051,UK +44
Fund for the Replacement of Animals in Medical Experiments,,,,hello@frame.org.uk,https://frame.org.uk/,,GBR0052,UK +44
Hedgehog Care,,,,,https://hedgehogcare.org.uk/,,GBR0053,UK +44
Hillside Animal Sanctuary,,,,contact@hillside.org.uk,https://www.hillside.org.uk/,,GBR0054,UK +44
The Horse Trust,,,,info@horsetrust.org.uk,https://horsetrust.org.uk/,,GBR0055,UK +44
How Many Elephants,,,,gulp@howmanyelephants.org,https://howmanyelephants.org/,,GBR0056,UK +44
Humanimal Trust,,,,info@humanimaltrust.org.uk,https://www.humanimaltrust.org.uk/,,GBR0057,UK +44
League Against Cruel Sports,,,,info@league.org.uk,https://www.league.org.uk/,,GBR0058,UK +44
Manchester and Cheshire Dogs' Home,,,,,https://dogshome.net/,,GBR0059,UK +44
National Animal Welfare Trust,,,,,https://www.nawt.org.uk/,,GBR0060,UK +44
NoToDogMeat,,,,info@notodogmeat.com,https://notodogmeat.com/,,GBR0061,UK +44
People's Dispensary for Sick Animals,,,,,https://www.pdsa.org.uk/,,GBR0062,UK +44
People's Trust for Endangered Species,,,,enquiries@ptes.org,https://ptes.org/,,GBR0063,UK +44
Raystede,,,,info@raystede.org,https://www.raystede.org/,,GBR0064,UK +44
Redwings Horse Sanctuary,,,,,https://www.redwings.org.uk/,,GBR0065,UK +44
Retraining of Racehorses,,,,tvaughan@ror.org.uk,https://ror.org.uk/,,GBR0066,UK +44
Safe Haven for Donkeys in the Holy Land,,,,info@safehaven4donkeys.org,https://www.safehaven4donkeys.org/,,GBR0067,UK +44
Save the Elephants,,,,info@savetheelephants.org,https://www.savetheelephants.org/,,GBR0068,UK +44
Save the Rhino,,,,info@savetherhino.org,https://www.savetherhino.org/,,GBR0069,UK +44
Secret World wildlife rescue,,,,,https://www.secretworld.org/,,GBR0070,UK +44
Shark Trust,,,,,https://www.sharktrust.org/,,GBR0071,UK +44
Society for Abandoned Animals,,,,office@saarescue.co.uk,https://www.saarescue.co.uk/,,GBR0072,UK +44
Society for the Protection of Animals Abroad,,,,hello@spana.org,https://spana.org/,,GBR0073,UK +44
Sussex Ornithological Society,,,,secretary@sos.org.uk,https://www.sos.org.uk/,,GBR0074,UK +44
"Swan Sanctuary, Shepperton",,,,,https://www.theswansanctuary.org.uk/,,GBR0075,UK +44
Last Chance Animal Rescue 2,,,,,https://www.lastchanceanimalrescue.co.uk/kennel/dog.php,,GBR0076,UK +44
Thornberry Animal Sanctuary,,,,info@thornberryanimalsanctuary.org,https://www.thornberryanimalsanctuary.org/,,GBR0077,UK +44
Tiggywinkles,,,,mail@tiggywinkles.org,https://www.sttiggywinkles.org.uk/,,GBR0078,UK +44
Whale and Dolphin Conservation,,,,info@whales.org,https://uk.whales.org/,,GBR0079,UK +44
Wildlife Aid Foundation,,,,,https://www.wildlifeaid.org.uk/,,GBR0080,UK +44
Woodgreen Pets Charity,,,,info@woodgreen.org.uk,https://woodgreen.org.uk/,,GBR0081,UK +44
Save Me,,,,info@savemetrust.org,https://savemetrust.co.uk/,,GBR0082,UK +44
Animal Defence and Anti-Vivisection Society,,,,info@adavsociety.org,https://adavsociety.org/,,GBR0083,UK +44
Animal Rights Cambridge,,,,animalrightscambridge54@gmail.com,https://animalrightscambridge.wordpress.com/,,GBR0084,UK +44
Anti-Vivisection Coalition,,,,info@stopvivisection.org.uk,https://web.archive.org/web/20140225231857/http://www.stopvivisection.org.uk/,,GBR0085,UK +44
Badger Trust,,,,,https://www.badgertrust.org.uk/,,GBR0086,UK +44
Bat Conservation Trust,,,,enquiries@bats.org.uk,https://www.bats.org.uk/,,GBR0087,UK +44
Centre for Animals and Social Justice,,,,,https://www.casj.org.uk/,,GBR0088,UK +44
Conservative Animal Welfare Foundation,,,,info@conservativeanimalwelfarefoundation.org,https://www.conservativeanimalwelfarefoundation.org/,,GBR0089,UK +44
Cruelty Free International,,,,info@CrueltyFreeInternational.org,https://crueltyfreeinternational.org/,,GBR0090,UK +44
Dogs Blog dot Com,,,,,https://www.dogsblog.com/,,GBR0091,UK +44
Hunt Saboteurs Association,,,,,https://www.huntsabs.org.uk/,,GBR0092,UK +44
Lord Dowding Fund for Humane Research,,,,,https://www.ldf.org.uk/research/,,GBR0093,UK +44
Monkey World,,,,apes@monkeyworld.org,https://monkeyworld.org/,,GBR0094,UK +44
National Anti-Vivisection Society,,,,,https://www.navs.org.uk/home/,,GBR0095,UK +44
OneKind,,,,,https://www.onekind.org/,,GBR0096,UK +44
Viva!,,,,,https://viva.org.uk/,,GBR0097,UK +44
Cat Action Trust,,,,info@catactiontrust.org.uk,http://www.catactiontrust.org.uk/,,GBR0098,UK +44
