Name,Address,Lat,Lon,Email,Website,Facebook,Extra1,Extra2
Save All Dogs Rescue,,,,savealldogsrescue@gmail.com,https://www.savealldogsrescue.com/,,USA0569,US +1
Kitty and K-9 Connection - A New Leash on Life (Anchorage),,61.2163129,-149.894852,kkc.amberj@yahoo.com,http://www.kittyandk-9connection.org/,,USA0005,US +1
Buckeye Animal Rescue and Kennel (BARK),,38.9742502,-94.6851702,bark.animalrescue@yahoo.com,https://buckeyeanimalrescueandkennel.webs.com/,,USA0025,US +1
Star Ranch Animal Sanctuary (Concho),,31.3102947,-99.8507578,Info@StarRanchAnimalSanctuary.org,https://starranchanimalsanctuary.com/,,USA0039,US +1
Coconino Humane Association (Flagstaff),,35.1987522,-111.651822,kindcrew@coconinohumane.org,https://www.coconinohumane.org/,,USA0044,US +1
We're The Cat's Meow Pet Rescue (Chandler),,33.3062031,-111.841185,azcatsmeow@gmail.com,https://werethecatsmeow.com/,,USA0053,US +1
KPAL - Kenai Peninsula Animal Lovers Rescue,,60.5544444,-151.258333,kpalrescue@gmail.com,https://kpalrescue.org/,,USA0017,US +1
Mojo’s Hope (Anchorage),,61.2163129,-149.894852,mojoshope@gmail.com,https://www.mojoshope.org/,,USA0006,US +1
ACAT - Alaska Cat Adoption Team (Chugiak),,61.3736751,-149.4949094,acat@alaskacatadoptionteam.org,https://www.alaskacatadoptionteam.org/,,USA0008,US +1
Arctic German Shepard Rescue (Fairbanks),,64.837845,-147.716675,agsrescue@gmail.com,http://agsrescue.com/,,USA0010,US +1
Alaska Humane Society,,61.2163129,-149.894852,ahs@adopt-a-cat.org,http://www.adopt-a-cat.org/,,USA0002,US +1
Pet Pride (Fairbanks),,64.837845,-147.716675,petpridefairbanks@gmail.com,https://www.facebook.com/petpridefairbanks/,,USA0011,US +1
Alaska Mindful Paws (AMP),,36.2329415,-97.1167973,alaskamindfulpaws@gmail.com,https://www.alaskamindfulpaws.org/,,USA0013,US +1
Tinker's Dream (Kake),,56.9758333,-133.947222,Marcia@tinkers-dream.org,http://www.tinkers-dream.org/,,USA0015,US +1
Haines Animal Rescue Kennel,,59.0831232,-135.3430573,info@harkalaska.org,https://harkalaska.org/,,USA0012,US +1
Friends of Pets (Anchorage),,61.2163129,-149.894852,mail@friendsofpets.org,https://friendsofpets.org/,,USA0004,US +1
Our Companions Animal Rescue,,21.2142649,81.6503232,helpline@ourcompanions.org,https://www.ourcompanions.org/,,USA0021,US +1
SAINT - Saving Animals In Need Together,,35.1449998,-114.5627804,contact@bhcsaint.org,https://www.bhcsaint.org/,,USA0026,US +1
Clear Creek Cat Rescue (Wasilla),,61.5824216,-149.442563,clearcreekkitties@gmail.com,http://clearcreekcatrescue.org/,,USA0024,US +1
Kattered Tails,,33.3062031,-111.841185,katteredtails@colello.org,https://katteredtails.com/,,USA0033,US +1
Valley Humane Society (Casa Grande),,32.8772834,-111.7536818,Valleyhumane@yahoo.com,https://www.valleyhumane.net/,,USA0027,US +1
Healing Hearts Animal Rescue (Cave Creek),,33.8333333,-111.950833,JBrumbaugh@healingheartsaz.org,https://healingheartsaz.org/,,USA0028,US +1
Cooper's Chance Animal Rescue (Chandler),,33.3062031,-111.841185,cooperschance@yahoo.com,https://cooperschance.org/,,USA0030,US +1
Pets Return Home,,34.7475612,-112.0272397,info@petsreturnhome.org,www.petsreturnhome.org,,USA0038,US +1
Cow Cats Pet Adoption Center (Chandler),,33.3062031,-111.841185,meow@cowcats.com,http://www.cowcats.com/home,,USA0031,US +1
Hope for Cats (Chandler),,33.3062031,-111.841185,hopeforcats@cox.net,http://www.hopeforcats.org/,,USA0032,US +1
RAIN - Rescuing Animals in Need formerly Kit Kat Rescue (Chandler),,33.3062031,-111.841185,azrainrescue@gmail.com,https://azrain.rescuegroups.org/,,USA0034,US +1
Saving One Life (Chandler),,33.3062031,-111.841185,info@savingonelife.org,https://www.savingonelife.org/,,USA0035,US +1
LOLA- Lots of Love For Animals (Chloride),,35.4111381,-114.1963006,info@lolathesanctuary.org,https://lotsofloveforanimals.org/,,USA0037,US +1
VVHS - Verde Valley Humane Society,,34.7475612,-112.0272397,frontdesk@verdevalleyhumanesociety.org,https://verdevalleyhumane.org/,,USA0041,US +1
SOS Cat Rescue AZ - Saving Orphans and Seniors (Cortaro),,32.3470902,-111.0727381,info@SOScatrescueAZ.org,https://soscatrescueaz.org/,,USA0040,US +1
KHS - Ketchikan Humane Society,,55.3430696,-131.6466819,ktnhumanesociety@yahoo.com,http://www.ketchikanhumanesociety.org/,,USA0018,US +1
ACDR - Arizona Cattle Dog Rescue (Flagstaff),,35.1987522,-111.651822,acdr@arizonacattledogrescue.org,https://arizonacattledogrescue.org/,,USA0042,US +1
Humane Society of Kodiak,,57.7901661,-152.4067073,kodiakanimalshelter@gmail.com,https://www.kodiakanimalshelter.org/,,USA0019,US +1
ADPR - Alaska Dog and Puppy Rescue (Palmer),,61.5995703,-149.11109,info@akdpr.com,https://akdpr.com/,,USA0022,US +1
Carrie On Rescue (Gilbert),,33.3527632,-111.789037,carrieonrescuers@hotmail.com,http://www.carrieonrescue.org/index.html,,USA0048,US +1
Rotten Rottie Rescue,,33.3527632,-111.789037,rottenrottierescue@gmail.com,https://www.rottenrottie.com/,,USA0050,US +1
Valley Dogs Rescue (Gilbert),,33.3527632,-111.789037,valleydogs@valleydogs.org,https://www.valleydogs.org/,,USA0052,US +1
Stealing Hearts Rescue,,33.5386858,-112.185994,AZBULLYGIRL@HOTMAIL.COM,https://www.stealingheartsrescue.com/,,USA0060,US +1
