Name,Address,Lat,Lon,Email,Website,Facebook,Extra1,Extra2
SPCA NZ,"3/137 North Road, Kaitaia 0482",,,,https://www.spca.nz/,,UNK0001,Unknown
"ENPA - Ente Nazionale Protezione Animali, sez. Bergamo","Via Giuseppe Mangili 4, 24121 Bergamo",,,bergamo@enpa.org,https://enpabergamo.it,,UNK0002,Unknown
OIPA Italia ODV - Sezione Bergamo,"Via Volta 8, 24020 Torre Boldone (sede operativa)",,,bergamo@oipa.org,https://www.oipa.org/italia/delegazioni/bergamo/,,UNK0003,Unknown
"LAV - Lega Anti Vivisezione, Sportello Bergamo","Via Borgo Palazzo 106, 24125 Bergamo",,,bergamo@lav.it,https://www.lav.it,,UNK0005,Unknown
Il Rifugio del Cane ODV,"Via Francesco Nullo 30, 24068 Seriate",,,info@ilrifugiodelcane.org,https://www.ilrifugiodelcane.org,,UNK0006,Torino (TO)
Fondazione Baratieri ETS ONLUS,"Strada Consortile alla Scortica, 24040 Arzago d'Adda",,,rifugio@fondazionebaratieri.it,https://fondazionebaratieriets.it,,UNK0007,Unknown
Dimensione Animale Bergamo ODV,"Strada Provinciale 150 s.n.c., 24040 Levate",,,dimensioneanimalebg@gmail.com,https://dimensioneanimalebergamo.org,,UNK0008,Unknown
AnimaLibera ODV - Canile di Grignano,"Via Brugarole 100, fraz. Grignano, 24041 Brembate",,,animalibera.appelli@gmail.com,https://www.animaliberaonlus.it,,UNK0009,Unknown
"Milano Zoofila ODV - Oasi del Cane, Grignano","Via Brugarole 100, fraz. Grignano, 24041 Brembate",,,adozioni@milanozoofila.org,https://milanozoofila.org,,UNK0010,Unknown
Canile di Colzate - Ass. Poldo ODV,"Via Bonfanti 110, 24020 Colzate",,,canilecolzate@hotmail.it,https://caniledicolzate.wixsite.com/canile-colzate,,UNK0011,Unknown
Canile di Calvenzano,"Via Roma, Calvenzano",,,info@canilecalvenzano.com,,,UNK0012,Unknown
ENPA Bergamo - Gattile,"Via Borfuro 2, 24121 Bergamo",,,bergamo@enpa.org,https://enpabergamo.it,,UNK0013,Unknown
Amici del Gattile ONLUS - Gattile di Treviglio,"Via Cappuccini snc (ang. Via Pontirolo 31), 24047 Treviglio",,,gattiletreviglio@gmail.com,https://www.gattiletreviglio.it,,UNK0014,Unknown
Amici per i Baffi ODV - Rifugio Oasi Gatti,"Via A. Manzoni 24, 24040 Madone",,,,,,UNK0015,Unknown
Gatti di Bergamo,24125 Bergamo,,,mici@gattidibergamo.it,,,UNK0016,Unknown
I Gatti di Anna ODV,"Cascina lungo Provinciale Francesca, Verdello",,,igattidiannabergamo@gmail.com,,,UNK0017,Unknown
OIPA - Nucleo Guardie Eco-Zoofile Bergamo,,12.4989994,124.6746741,bergamo@oipa.org,https://www.guardiezoofile.info/nuclei/lombardia/bergamo/,,UNK0004,Unknown
Gattile di Caravaggio,,12.4989994,124.6746741,,,,UNK0018,Unknown
"AIPA - Associazione Italiana Protezione Animali, sez. Bergamo","ASST Papa Giovanni XXIII, Piazza O.M.S. 1, 24127 Bergamo",,,aipa.bergamo@gmail.com,https://www.aipabergamo.com,,UNK0019,Unknown
Rete Territoriale Felini Liberi - Media e Alta Valle Seriana,"Pineta di Clusone, loc. Busgarina (progetto 'I Gatti nel Bosco')",,,bergamo@enpa.org,https://enpabergamo.it,,UNK0023,Unknown
A.T.A.R. ODV - Associazione Tutela Animali Randagi,"Via Orzinuovi snc, Parco del Mella, 25125 Brescia",,,,https://atarbrescia.it,,UNK0025,Unknown
S.O.S. Randagi - Canile Rifugio di Brescia,"Via Girelli 6, 25100 Brescia",,,info@canilerifugiobrescia.it,http://www.canilerifugiobrescia.it,,UNK0026,Unknown
Associazione Le Muse - Rifugio,"SP 67, km 2/3, Rezzato",,,info@associazionelemuse.it,http://www.associazionelemuse.com,,UNK0027,Unknown
Canile San Rocco di Calcinatello,"Via Gavardina di Sopra 2, Calcinatello (Brescia)",,,info@caniledicalcinatello.it,http://www.caniledicalcinatello.it,,UNK0028,Unknown
Rustico Belfiore ONLUS - Canile e Gattile,"Via Milano 39, 25032 Chiari",,,rusticobelfiore@libero.it,https://www.rusticobelfiore.it,,UNK0029,Unknown
Associazione Compagni di Strada - Canile Intercomunale,"Via San Lorenzino Basso 8, Loc. S. Pietro, 25015 Desenzano del Garda",,,compagnidistrada@gmail.com,https://www.compagnidistrada.org,,UNK0030,Unknown
Associazione ARGO - Rifugio di Gorzone,"Loc. Crape di Luine (Parco Incisioni Rupestri), Gorzone di Darfo Boario Terme",,,info@rifugiodigorzone.it,http://www.rifugiodigorzone.it,,UNK0031,Unknown
Angeli nell'Ombra - Cascina Carlotti,"Cascina Carlotti, Gottolengo",,,info@angelinellombra.com,https://www.angelinellombra.com,,UNK0032,Unknown
Rifugio Comprensoriale della Valcamonica,"Località Tolbes, Lozio",,,,,,UNK0033,Unknown
A.V.A.R. - Associazione Volontari Amici Randagi / Gattile Oasi AVAR,"Via Orzinuovi, Parco del Mella, 25100 Brescia (sede: Via E. Fermi 34, Castelmella)",,,info@avar.it,https://www.avar.it,,UNK0034,Unknown
Associazione Telefono Difesa Animali ODV - Gattile,"Cascina Gruccione, Parco del Montenetto, 25020 Capriano del Colle",,,info@telefonodifesaanimali.it,https://www.telefonodifesaanimali.it,,UNK0035,Unknown
Associazione R.A.F. - Rifugio Animali Felici / Gattile Villaggio Paolino,"Via San Lorenzino Basso 8, Loc. S. Pietro, 25015 Desenzano del Garda",,,associazione.raf@gmail.com,https://www.gattiledidesenzano.it,,UNK0036,Unknown
L.A.I.C.A. ODV - Libera Associazione Italiana per la Cura degli Animali,"Via S. D'Acquisto 10, 25030 Erbusco",,,laicaperglianimali@gmail.com,,,UNK0037,Unknown
La Casa del Gatto - Associazione di Promozione Sociale,Terreno concesso dal Comune di Provaglio d'Iseo,,,,,,UNK0038,Unknown
OIPA - Sezione Capriolo (BS),"c/o Casa delle Associazioni, Via IV Novembre 26, Capriolo",,,,https://www.oipa.org/italia/delegazioni/,,UNK0039,Unknown
Canile Sanitario di Brescia - ATS Brescia,"Via Orzinuovi 92, 25125 Brescia",,,canilesanitario@ats-brescia.it,https://www.ats-brescia.it/canile-sanitar-1,,UNK0040,Unknown
Stragatti R. ONLUS,,12.4989994,124.6746741,,,,UNK0021,Unknown
Mici per Amici,,12.4989994,124.6746741,amicidikika@katamail.com,,,UNK0022,Unknown
Ass.ne A.D.L.A. [ASSOCIAZIONE DIFESA LIBERTA' ANIMALI ] Onlus,,12.4989994,124.6746741,info-adozioni@katamail.com,,,UNK0041,Unknown
ASSOCIAZIONE AMICI DEL CANE RANDAGIO,Private Welfare Structure,,,siciliamicidelcane@gmail.com,https://www.amicidelcaneonlus.it/,,UNK0056,Santa Vittoria d'Alba (CN)
A.R.C.A. ANIMAL RESEARCH CONSERVATION IN ACTION ONLUS,,12.4989994,124.6746741,segreteria@fondazionearca.eu,https://fondazionearca.eu/,,UNK0043,Unknown
A.S.A. ASSOCIAZIONE SOCCORSO ANIMALI,,12.4989994,124.6746741,,,,UNK0044,Unknown
A.S.SE.A. ONLUS,,12.4989994,124.6746741,asseaonlus2011@gmail.com,https://asseaonlus.wordpress.com/,,UNK0045,Unknown
Abeta Onlus,,12.4989994,124.6746741,infoabeta@alice.it,https://www.facebook.com/abeta.onlus/?locale=it_IT,,UNK0046,Unknown
AMICI DEGLI ANIMALI ONLUS,,12.4989994,124.6746741,info.amicideglianimali@gmail.com,https://www.amicideglianimali.net/,,UNK0047,Unknown
ANIMA EQUINA APS,,12.4989994,124.6746741,,https://www.animaequina.it/,,UNK0048,Unknown
Animal Amnesty,,12.4989994,124.6746741,info@animalamnesty.it,https://www.facebook.com/AnimalAmnesty/,,UNK0049,Unknown
ANIMAL EQUALITY ITALIA,,12.4989994,124.6746741,info@animalequality.it,https://animalequality.it/,,UNK0050,Unknown
Pet Rescue Italia,,12.4989994,124.6746741,petrescueitalia@gmail.com,https://www.petrescueitalia.org/,,UNK0051,Unknown
ANIMALS ASIAFOUNDATION ITALIA,,12.4989994,124.6746741,info@animalsasia.org,https://www.animalsasia.org/it/,,UNK0053,Unknown
AnimAnimale ONLUS,,12.4989994,124.6746741,riccardo.sinopoli@gmail.com,https://www.facebook.com/AnimAnimaleOnlus/,,UNK0054,Unknown
Associazione Arischiogatti Onlus,,12.4989994,124.6746741,arischiogatti@email.it,https://arischiogatti.it/,,UNK0055,Unknown
Animabau,,12.4989994,124.6746741,Animabau.2012@gmail.com,https://www.facebook.com/people/Animabau/100050808083930/?paipv=0&eav=AfbWTERSDodOh-VDL0Q5IShjUcZ6ng5NxMdgUDO_TPBXwh7FDaHg-XaZNAeeAeqODRU&_rdr,,UNK0057,Unknown
Animal Empathy Onlus,,12.4989994,124.6746741,animalempathyonlus@gmail.com,https://www.facebook.com/animalempathyonlus/?locale=it_IT,,UNK0058,Unknown
ASSOCIAZIONE ANIMALISTA ARONNE,,12.4989994,124.6746741,sandro.fanara@associazionearonne.it,https://www.associazionearonne.it/,,UNK0059,Unknown
ASSOCIAZIONE ANIMALISTI ATTIVI ONLUS,,12.4989994,124.6746741,animalistiattivionlus@gmail.com,https://www.facebook.com/animalisti.attivionlus/?locale=it_IT,,UNK0061,Unknown
ASSOCIAZIONE BENESSERE ANIMALE,,12.4989994,124.6746741,info@associazionebenessereanimale.it,https://associazionebenessereanimale.it/,,UNK0062,Unknown
ASSOCIAZIONE CASA DEL CANE VAGABONDO,,12.4989994,124.6746741,casadelcanevagabondo@libero.it,https://casadelcanevagabondo.wordpress.com/,,UNK0063,Unknown
ASSOCIAZIONE CULTURALE CIRCOLO CINOFILO SLEGA IL CANE,,12.4989994,124.6746741,chiaravita@gmail.com,https://www.facebook.com/slegailcane/?locale=it_IT,,UNK0064,Unknown
Rifugio dei picciriddi,,12.4989994,124.6746741,picciriddisfortunati@gmail.com,https://www.facebook.com/rifugiodeipicciriddi/,,UNK0065,Unknown
ASSOCIAZIONE GATTOFILA SEGRATESE ONLUS,,12.4989994,124.6746741,gattofila.segratese@tiscali.it,https://gattofilasegratese.jimdofree.com/,,UNK0066,Unknown
G.E.A. Animal’s Land,,12.4989994,124.6746741,info@geanimalsland.it,http://www.geanimalsland.it/,,UNK0067,Unknown
ASSOCIAZIONE GLI AMICI DI WOLF,,12.4989994,124.6746741,amicidiwolf@gmail.com,https://www.amicidiwolf.com/,,UNK0068,Unknown
Associazione la fattoria del cane ciuk onlus,,12.4989994,124.6746741,onlusfattoriadelcane@gmail.com,https://www.facebook.com/fattoriadelcaneciuk/,,UNK0069,Unknown
Zampe Alla Riscossa Onlus,,12.4989994,124.6746741,associazione.zar@libero.it,https://www.facebook.com/associazione.zar/?locale=it_IT,,UNK0071,Unknown
Associazione Cavalli del Bisbino ONLUS,,12.4989994,124.6746741,associazione@cavallidelbisbino.ch,http://cavallidelbisbino.com/,,UNK0072,Unknown
