code,name,address,city,email,phone,website
CAN0013,Angels of Hope Animal Rescue Inc.,,,angelsofhope2010@gmail.com,,https://www.angelsofhoperescue.com/
CAN0015,Animal Haven Rescue League,,,animalhavenrescue@gmail.com,,http://www.animalhavenrescue.ca/
CAN0024,ACTION VOLUNTEERS FOR ANIMALS,,,AVA2009@ACTIONVOLUNTEERSFORANIMALS.COM,,https://www.avacats.org/
CAN0027,ANIMAL AID & ADOPTION,,,ANIMALAIDADOPT@GMAIL.COM,,http://animalaidandadoption.com/
CAN0031,ANIMAL LOVE FOUNDATION,,,ANIMALOVEFOUNDATION@YAHOO.COM,,http://animallovefoundation.org/
CAN0032,Animal Assistance Society of the Niagara Region,,,animalassistancesociety@gmail.com,,https://www.facebook.com/AnimalAsisstanceSocietyofNiagara
CAN0034,ANIMAL RESCUE COALITIONS NOVA SCOTIA,,,ARC@SEABRIGHT.CA,,http://www.animalrescuecoalitions.com/
CAN0035,ANIMAL RESCUE FOUNDATION (ARF) OF ALBERTA,,,ARF.ALBERTA@ARF.AB.CA,,http://www.arf.ab.ca/
CAN0039,ANIMALERT PET ADOPTIONS INC,,,ANIMALERT@ROGERS.COM,,http://www.animalert.ca/
CAN0043,Beulah Burman Memorial Animal Shelter Society,,,WENDY@PETPROJECTS.CA,,http://www.petprojects.ca/
CAN0044,Brooks Animal Protection Society,,,INFO@BAPSOCIETY.COM,,http://www.bapsociety.com/
CAN0045,BIDE AWHILE ANIMAL SHELTER SOCIETY,,,BIDEAWHILE@BIDEAWHILE.ORG,,http://www.bideawhile.org/
CAN0047,BONNYVILLE AND DISTRICT S.P.C.A. (SOCIETY FOR THE PREVENTIONOF CRUELTY TO ANIMALS),,,HEATHERBONNYVILLESPCA@GMAIL.COM,,http://www.bonnyvillespca.ca/
CAN0049,BRITISH COLUMBIA FOUNDATION FOR NON ANIMAL RESEARCH,,,GURTON@SPCA.BC.CA,,http://www.bcfnar.org/
CAN0051,Calgary Animal Rescue Society,,,info@calgaryanimalrescue.com,,http://www.calgaryanimalrescue.com/
CAN0052,Campbell River Partners for Animal Welfare Society,,,CAMPBELLRIVERPAWS@GMAIL.COM,,http://www.crpaws.ca/
CAN0155,Swan Valley Animal Protection League Incorporated,,,KAT31@LIVE.CA,,
CAN0059,Claresholm Animal Rescue Society,,,CLARESHOLMCARES@GMAIL.COM,,http://www.claresholmcares.com/
CAN0062,Companion Animal Rescue Effort,,,INFO@CARE-CA.ORG,,http://www.care-ca.org/
CAN0065,Critteraid Animal Sanctuary Society,,,INFO@CRITTERAID.ORG,,http://www.criteraid.org/
CAN0073,COMPANION ANIMAL PROTECTION SOCIETY ANNAPOLIS COUNTY,,,INFO.CAPS@EASTLINK.CA,,http://www.caps-annapolis.org/
CAN0084,Greater Edmonton Animal Rescue Society (GEARS),,,info@edmontonanimalrescue.org,,http://www.edmontonanimalrescue.org/
CAN0085,Gwaii Animal Helpline Society,,,gwaiianimalhelpline@gmail.com,,http://www.gwaiianimalhelpline.com/
CAN0086,GREATER VICTORIA ANIMALS CRUSADERS,,,INFO@ANIMALCRUSADERS.CA,,http://www.animalcrusaders.ca/
CAN0087,GREY Bruce Animal Shelter,,,GB-ANIMALSHELTER@HOTMAIL,,http://GREY BRUCEANIMALSHELTER.COM
CAN0088,Humboldt and District Society for Prevention of Cruelty to animals Inc.,,,HDSPCA@SASKTEL.NET,,
CAN0089,HAPPY VALLEY-GOOSE BAY SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,,,SPCA-HUGB@HOTMAIL.COM,,http://www.spca-hvgb.com/
CAN0090,HARVEST SKY ANIMAL RESCUE SOCIETY,,,INFO@HANNASPCA.COM,,http://www.hannaspca.com/
CAN0091,HIGHLAND ANIMAL RELIEF TEAM INC.,,,HARTTREASURER@GMAIL.COM,,http://www.hartnamimalrelief.ca/
CAN0093,In the Woods Animal Rescue Society,,,INTHEWOODS@ZOHO.COM,,http://inthewoodsrescue.com/
CAN0096,Kaws Animal Rescue Inc.,,,KAWS@LIVE.CA,,http://www.kaws.ca/
CAN0099,KCS Animal Rescue Society,,,kcsanimalrescuesociety@gmail.com,,http://www.kcsanimalrescue.com/
CAN0101,Lakes Animal Friendship Society,,,ALISTAIR@LAKESANIMALFRIENDSHIP.CA,,http://www.lakesanimalfriendship.ca/
CAN0103,Little Mittens Animal Rescue Association,,,littlemittensrescue@gmail.com,,http://www.littlemittens.org/
CAN0156,SALISH PEOPLES ANIMAL WELFARE SOCIETY,,,Salishpaws@gmail.com,,
CAN0113,Mozart Sympawthy Animal Sanctuary Inc.,,,lauriebourgeois1963@gmail.com,,
CAN0115,MUDHUSKIES ANIMAL SHELTER,,,JUDITHCONNOR@YAHOO.COM,,
CAN0118,North Mountain Animal Sanctuary Society,,,info@nmas.ca,,http://www.nmas.ca/
CAN0119,Northern Animal Rescue Inc.,,,NORTHERNANIMALRESCUE@GMAIL.COM,,http://www.northernanimalrescue.ca/
CAN0120,NANTON & DISTRICT ANIMAL PROTECTION SOCIETY,,,JOHNSON4@TELUSPLANET.NET,,http://www.nantonanimalprotection.com/
CAN0122,NORTHWEST ANIMAL SHELTER SOCIETY,,,INFO@NWAS.CA,,http://www.nwas.ca/
CAN0123,Off The W.A.L. Animal Rescue,,,OFFICEWALANIMALSRESCUE@GMAIL.COM,,http://www.offthewalanimalsrescue.com/
