code,name,address,city,email,phone,website
ITA0010,Associazione Zoofili Cremonesi ONLUS - Rifugio del Cane,"Via Vecchio Casello 1, 26100 Cremona",,info@caniledicremona.it,334 7346862,https://www.caniledicremona.it
ITA0011,A.P.A.C. ONLUS - Associazione Protezione Animali Cremona / Gattile,"Via Bissolati 89, 26100 Cremona",,info@apacgattile.it,,
ITA0012,"ENPA - Ente Nazionale Protezione Animali, Delegazione Crema","P.le Croce Rossa 1, 26013 Crema",,crema@enpa.org,0373 83812,https://www.enpa.org
ITA0014,Ass. Aischioogatti - Oasi Felina Comune di Crema,"Via II Giugno 5, 26010 Vaiano Cremasco",,aischiogarri@email.it,,
ITA0015,LEAL - Lega Antivivisezionista e Antispecista / Sezione Cremona,,,,,
ITA0017,"LAV - Lega Anti Vivisezione, sportello Cremona",,,cremona@lav.it,,https://www.lav.it
ITA0020,Canile Municipale di Lecco (ATS Brianza),"Via Frate Galdino 22 (zona Pescarenico), 23900 Lecco",,dipartimento.veterinario@asl.lecco.it,0341 368652 / 333 8416430,
ITA0021,OIPA Italia - Sezione Lecco,,,lecco@oipa.org,,https://www.oipa.org/italia/delegazioni/lecco/
ITA0025,A.DI.CA. ONLUS - Associazione per la Difesa del Cane / Canile Lodi,"Fraz. Ca' dell'Acqua 4, 26851 Borgo San Giovanni",,adozioni@adica.org,0371 97035,https://www.adica.org
ITA0026,Mondo Gatto Lodi - Gattile,"Via Defendente 70, area ex Macello, 26900 Lodi",,info@mondogattolodi.org,366 8196487,
ITA0027,La Castagnina - Rifugio,"Loc. Cascina Castagna 4, 26854 Pieve Fissiraga",,info@lacastagnina.it,338 8360753,https://www.lacastagnina.it
ITA0028,Canile Multizonale L'Airone,"Via Lodi 1, Fraz. Villa Pompeiana, 26839 Zelo Buon Persico",,,02 90658383,
ITA0029,OIPA - Sezione Lodi e Provincia,,,lodi@oipa.org,,https://www.oipa.org/italia/delegazioni/lodi/
ITA0030,"LAV - Lega Anti Vivisezione, sportello Mantova",,,lodi@lav.it,,https://www.lav.it
ITA0031,Associazione Cinofila Mantovana ODV - Rifugio del Cane Abbandonato / Gattile Sanitario,"Strada Bosco Virgiliano 10, 46100 Mantova",,info@caniledimantova.it,348 3762298,https://www.caniledimantova.it
ITA0032,Canile San Lorenzo,"Strada Provinciale Est 154, 46019 Pergognaga",,sanlorenzocanile@alice.it,349 3552499 / 0376 558704,
ITA0034,OIPA - Sezione Mantova,,,mantova@oipa.org,,https://www.oipa.org/italia/delegazioni/mantova/
ITA0039,4 Zampe nel Cuore Italia,,,,,
ITA0040,Amico Cane & Co - S. Giorgio di Mantova,,,,,
ITA0054,Il Rifugio del Micio ONLUS - Vigevano,"Strada Fogliano Superiore 165, 27029 Vigevano",,info@ilrifugiodelmicio.it,333 8399587 / 338 9163521,https://www.ilrifugiodelmicio.it
ITA0053,La Pandina - Rifugio,"Via Cavo 18, 27010 Villanterio",,,0382 967168 / 348 8815662,
ITA0058,Canile Rifugio di Mede - La Cuccia ONLUS,"Via Ragazzi del 99, Loc. Castelletto, 27035 Mede",,lacucciaonlus@libero.it,339 6909568 / 0385 85149,
ITA0059,Miciopolis ONLUS - Vigevano,27029 Vigevano,,,,
ITA0060,Millevite APS - Colonie Feline Zeme,"Cascina Madonna snc, 27030 Zeme",,,,
ITA0062,"LAV - Lega Anti Vivisezione, sportello Pavia","Viale Sforza 5, Pavia",,pavia@lav.it,,https://www.lav.it
ITA0067,OIPA - Sezione Sondrio,,,sondrio@oipa.org,,https://www.oipa.org/italia/delegazioni/
ITA0070,ENPA Genova - CRAS Centro Recupero Animali Selvatici,"Via Lastrico 1, 16014 Campomorone",,genova@enpa.org,010 7212178,https://www.enpagenova.org
ITA0071,UNA - Uomo Natura Animali ODV / Canile Municipale Monte Contessa,"Via Rollino 92 (nero), Loc. Monte Contessa, 16154 Genova",,canilegeuna@libero.it,347 3641920 / 328 0961441 / 010 6500617,https://www.unagenova.it
ITA0073,Noirandagi ODV - Rifugio Sherwood,"Via Bavari 37R, 16137 Genova",,info@noirandagi.it,349 7182222 / 345 4087128,https://www.noirandagi.it
ITA0074,Parco Canile Dogsville - Buon Canile ODV,"Passo Rio Canate 51, Cavassolo, 16165 Genova",,info@buoncanile.it,333 1140022,https://buoncanile.it
ITA0075,Impronte da Salvare - Canile di Arenzano,"Via Pecorara 44, 16011 Arenzano",,improntedasalvare@gmail.com,348 5114833 / 348 5525507 / 342 1544162,
ITA0077,Ass. Amico Gatto ONLUS - Gattile Genova,"P.le Francesco Crispi, Cancello, 16148 Genova",,gattile.genova@iol.it,,
ITA0080,"LAV - Lega Anti Vivisezione, sez. Genova",,,genova@lav.it,,https://www.lav.it
ITA0084,ENPA Savona - Sede e Canile di Cadibona,"Sede: Via Cavour 48, 17100 Savona | Canile: Via Nazionale Piemonte 158, Cadibona",,savona@enpa.org,019 824735,https://www.enpa.sv.it
ITA0085,Canile Municipale di Savona,"Via Massa 11/R, Loc. Legino, 17100 Savona",,caniledisavona@libero.it,019 264716 / 327 5892908,
ITA0089,"LIDA - Lega Italiana Difesa Animali, sez. Valbormida / Gattile Cairo Montenotte","Via B. Dagna 34, 17014 Cairo Montenotte",,,349 3820436,
ITA0090,Dog Ranch / Rifugio Sherwood - sez. Sassello,"Via Capé, 17046 Sassello",,info@noirandagi.it,366 4396674,
ITA0094,"LAV - Lega Anti Vivisezione, sportello Savona",,,savona@lav.it,,https://www.lav.it
ITA0097,Canile di Ventimiglia (LNDC sez. Ventimiglia),"Via Peglia 16, 18039 Ventimiglia",,infoventimiglia@legadifesadelcane.it,0184 239172,
ITA0098,OIPA - Sezione Imperia,,,imperia@oipa.org,,https://www.oipa.org/italia/delegazioni/imperia/
ITA0101,ENPA La Spezia,"Via San Venerio, 19136 La Spezia",,laspezia@enpa.org,0187 564798,https://www.enpa.org
ITA0103,Associazione BETA - Benessere e Tutela Animale ODV / Canile Lunae,"Via Rubiano / Via Tavolara, 19038 Sarzana - Castelnuovo Magra",,info.associazionebeta@gmail.com,347 2391774 / 331 6427128 / 329 8778082,https://associazionebetabenessereetutelaanimale.wordpress.com
ITA0087,Canile Municipale di Albenga,"Regione Enesi 5, 17031 Albenga",,cristiano.campana@comune.albenga.sv.it,0182 20932 / 331 9793995,
ITA0099,"LAV - Lega Anti Vivisezione, sportello Imperia/Sanremo",,,imperia@lav.it,,https://www.lav.it
