code,name,address,city,email,phone,website
GBR0334,Ruff Luck Rescue (Birmingham),,,thedogtrustees@gmail.com,,https://www.ruffluckrescue.org/
GBR0013,"Brooke - Lahore, Pakistan",,,mail@thebrookeindia.org,,http://www.thebrooke.org/
GBR0016,Brooke - East Africa,,,brookeea@thebrookeeastafrica.org,,http://www.thebrooke.org/
GBR0017,Brooke - Ethiopia,,,info@thebrookeethiopia.org,,http://www.thebrooke.org/
GBR0028,World Animal Protection - Denmark,,,info@worldanimalprotection.dk,,https://www.worldanimalprotection.org/
GBR0031,World Animal Protection - New Zeland,,,info@worldanimalprotection.org.nz,,https://www.worldanimalprotection.org/
GBR0032,World Animal Protection - Sweden,,,info@worldanimalprotection.se,,https://www.worldanimalprotection.org/
GBR0033,World Animal Protection - Thailand,,,info@worldanimalprotection.or.th,,https://www.worldanimalprotection.org/
GBR0034,World Animal Protection - UK,,,pressofficer@worldanimalprotection.org.uk,,https://www.worldanimalprotection.org/
GBR0035,World Animal Protection -US,,,info@worldanimalprotection.us,,https://www.worldanimalprotection.org/
GBR0037,African Conservation Foundation,,,,,https://africanconservation.org/
GBR0040,The Aspinall Foundation,,,https://share.hsforms.com/1TyTesSqdQOKePCsODiTOSA1n2zx,,https://www.aspinallfoundation.org/
GBR0062,How Many Elephants,,,gulp@howmanyelephants.org,,https://howmanyelephants.org/
GBR0075,Royal Society for the Prevention of Cruelty to Animals,,,https://www.rspca.org.uk/utilities/contactus/askus/online,,https://www.rspca.org.uk/
GBR0077,Save the Elephants,,,info@savetheelephants.org,,https://www.savetheelephants.org/
GBR0081,Shark Trust,,,https://www.sharktrust.org/forms/general-enquiries,,https://www.sharktrust.org/
GBR0084,Sussex Ornithological Society,,,secretary@sos.org.uk,,https://www.sos.org.uk/
GBR0091,Whale and Dolphin Conservation,,,info@whales.org,,https://uk.whales.org/
GBR0093,Willows Animal Sanctuary,,,kate@willowsanimals.com,,https://www.willowsanimals.com/
GBR0100,Badger Trust,,,https://www.badgertrust.org.uk/you,,https://www.badgertrust.org.uk/
GBR0105,Dogs Blog dot Com,,,https://www.dogsblog.com/contact/,,https://www.dogsblog.com/
GBR0106,Hunt Saboteurs Association,,,https://www.huntsabs.org.uk/contact/,,https://www.huntsabs.org.uk/
GBR0113,RCVS Knowledge,,,,,
GBR0114,"Advancing veterinary care for the benefit of animals,https://www.rcvsknowledge.org/,info@rcvsknowledge.org,,51.5163124,-0.1115774481,,,,,",,,,,
GBR0125,Cats Protection,,,dominic.sullivan@cats.org.uk,,https://www.cats.org.uk/bridgwater
GBR0127,ROSINA ANIMAL CENTRE,,,https://rosinaanimalcentre.weebly.com/contact-us-07950023286.html,,https://rosinaanimalcentre.weebly.com/
GBR0128,First For Dogs Foundation,,,admin@firstfordogs.org,,http://www.firstfordogs.org/
GBR0130,The Edward Foundation,,,https://www.theedwardfoundation.co.uk/contact-us,,https://www.theedwardfoundation.co.uk/
GBR0131,Harvey's Army,,,info@harveysarmy.com,,http://www.harveysarmy.com/
GBR0143,Cats Protection - Tamworth & Atherstones Branch,,,tamcats@talktalk.net,,https://www.tamcats.co.uk/
GBR0144,Cat Protection and Rescue,,,cpr@longfram.net,,
GBR0145,Pet Fostering Service Scotland,,,fosterenquiry@pfss.org.uk,,https://www.pfss.org.uk/
GBR0146,7th Heaven Animal Rescue Trust,,,animalrescuetrust@hotmail.com,,http://www.7thheaven.org.uk/
GBR0148,"Cats Protection - Crawley, Reigate & District",,,enquiries@catsprotection.co.uk,,
GBR0149,The People's Dispensary For Sick Animals,,,knee.simon@pdsa.org.uk,,https://www.pdsa.org.uk/
GBR0151,Cat Lovers Animal Welfare Society,,,info@c-l-a-w-s.org.uk,,https://www.c-l-a-w-s.org.uk/
GBR0154,Blue Cross,,,info@bluecross.org.uk,,https://www.bluecross.org.uk/
GBR0157,The British Thoroughbred Retraining Centre,,,enquiries@thetrc.co.uk,,https://www.thetrc.co.uk/
GBR0169,Stronger Together Animal Rescue,,,hello@staradopt.org,,https://www.staradopt.org/
GBR0171,Galgos Del Sol UK,,,galgosdelsoluk@gmail.com,,https://www.galgosdelsol.org/
GBR0173,Durham District Retired Greyhounds,,,durhamhollinhall@gmail.com,,https://www.durhamretiredgreyhounds.co.uk/
GBR0180,Cat Squad South East,,,CATSQUADESSEX@ICLOUD.COM,,https://catsquad.org/
GBR0184,Ceredigion Cat Rescue,,,ceredigioncatrescue@gmail.com,,
GBR0190,Moulton Chapel Cat Shelter,,,ray.digby@talktalk.net,,https://www.moultonchaplecatshelter.org/
GBR0191,Costa Blanca Feral Cat Trust,,,emma.reid21@btinternet.com,,https://www.paulinefirks.co.uk/
GBR0202,Liverpool Cat Welfare and Sanctuary,,,liverpoolcatwelfare@hotmail.co.uk,,https://liverpoolcatwelfare.com/
GBR0203,Bedford and Biggleswade Cats Protection,,,https://www.cats.org.uk/bedford/contact-us,,https://www.cats.org.uk/bedford
GBR0204,Stray Cat Rescue (Dunstable),,,fundraising@straycatrescue.org.uk,,http://www.straycatrescue.org.uk/
GBR0205,Homeless Cat Rescue (Luton),,,homelesscatrescue@hotmail.com,,https://www.homelesscatrescue.co.uk/
GBR0206,"TVAW, Thames Valley Animal Welfare (Wycombe)",,,tvaw@btconnect.com,,https://www.tvaw.org.uk/
GBR0208,Animal Helpline Dog Rescue (Wansford),,,Homes4Dogs@outlook.com,,http://homes4dogs.co.uk/
GBR0209,Chester Cat Care,,,info@chestercatcare.com,,https://www.rescuereview.co.uk/rescue/chester-cat-care-417/
