code,name,address,city,email,phone,website
USA0268,GreenDog Foundation,,,greendogfoundation@gmail.com,,http://greendogfoundation.com/
USA0824,Animal Allies Florida,,,info@aaFlorida.org,,https://www.aaflorida.org/
USA0010,USA - ALASKA,,,,,
USA1226,CPR Fund K9 Rescue,,,info@cprfund.com,,https://www.cprfund.com/
USA1379,USA - KANSAS,,,,,
USA1380,Forever Home Pet Rescue,,,fhpr402@gmail.com,,
USA1412,SRL Inc,,,savethatdog@hotmail.com,,https://www.savethatdog.com/
USA1444,Bun Bun Brigade,,,etownbunbunbrigade@gmail.com,,https://bunbunbrigade.org/
USA0012,Alaska Krazy Kats Cat Rescue and Kitty Adoptions,,,krazykatsrescue@gmail.com,,https://www.facebook.com/profile.php?id=100069568247747
USA0013,Friends of Pets (Anchorage),,,mail@friendsofpets.org,,https://friendsofpets.org/
USA0014,Kitty and K-9 Connection - A New Leash on Life (Anchorage),,,kkc.amberj@yahoo.com,,http://www.kittyandk-9connection.org/
USA0016,Bethel Friends of Canines,,,bethelfriendsofcanines2011@gmail.com,,https://www.bethelfriendsofcanines.com/
USA0017,ACAT - Alaska Cat Adoption Team (Chugiak),,,acat@alaskacatadoptionteam.org,,https://www.alaskacatadoptionteam.org/
USA0018,Alaska Equine Rescue,,,https://alaskaequinerescue.com/contact-us,,https://alaskaequinerescue.com/
USA0019,Arctic German Shepard Rescue (Fairbanks),,,agsrescue@gmail.com,,http://agsrescue.com/
USA0020,Pet Pride (Fairbanks),,,petpridefairbanks@gmail.com,,https://www.facebook.com/petpridefairbanks/
USA0022,Alaska Mindful Paws (AMP),,,alaskamindfulpaws@gmail.com,,https://www.alaskamindfulpaws.org/
USA0024,Tinker's Dream (Kake),,,Marcia@tinkers-dream.org,,http://www.tinkers-dream.org/
USA0026,KPAL - Kenai Peninsula Animal Lovers Rescue,,,kpalrescue@gmail.com,,https://kpalrescue.org/
USA0032,Valdez City Animal Control,,,ValdezShelter@ValdezAK.gov,,https://www.valdezak.gov/66/Animal-Shelter
USA0033,Clear Creek Cat Rescue (Wasilla),,,clearcreekkitties@gmail.com,,http://clearcreekcatrescue.org/
USA0034,USA - ARIZONA,,,,,
USA0035,Buckeye Animal Rescue and Kennel (BARK),,,bark.animalrescue@yahoo.com,,https://buckeyeanimalrescueandkennel.webs.com/
USA0036,SAINT - Saving Animals In Need Together,,,contact@bhcsaint.org,,https://www.bhcsaint.org/
USA0040,Cooper's Chance Animal Rescue (Chandler),,,cooperschance@yahoo.com,,https://cooperschance.org/
USA0041,Cow Cats Pet Adoption Center (Chandler),,,meow@cowcats.com,,http://www.cowcats.com/home
USA0043,Kattered Tails,,,katteredtails@colello.org,,https://katteredtails.com/
USA0045,Saving One Life (Chandler),,,info@savingonelife.org,,https://www.savingonelife.org/
USA0047,LOLA- Lots of Love For Animals (Chloride),,,info@lolathesanctuary.org,,https://lotsofloveforanimals.org/
USA0048,Pets Return Home,,,info@petsreturnhome.org,,www.petsreturnhome.org
USA0050,SOS Cat Rescue AZ - Saving Orphans and Seniors (Cortaro),,,info@SOScatrescueAZ.org,,https://soscatrescueaz.org/
USA0052,ACDR - Arizona Cattle Dog Rescue (Flagstaff),,,acdr@arizonacattledogrescue.org,,https://arizonacattledogrescue.org/
USA0053,Ark Cat Sanctuary,,,info@arkcatsanctuary.org,,https://www.arkcatsanctuary.org/
USA0058,Carrie On Rescue (Gilbert),,,carrieonrescuers@hotmail.com,,http://www.carrieonrescue.org/index.html
USA0060,Rotten Rottie Rescue,,,rottenrottierescue@gmail.com,,https://www.rottenrottie.com/
USA0062,Valley Dogs Rescue (Gilbert),,,valleydogs@valleydogs.org,,https://www.valleydogs.org/
USA0065,All About Animals Rescue (Glendale),,,allaboutanimalsaz@gmail.com,,http://www.allaboutanimalsaz.com/
USA0182,ArkanPaws Animal Rescue (Conway),,,ArkanPaws@gmail.com,,http://arkanpaws.org/
USA0068,Robin Hood Animal Rescue (Glendale),,,rhar4all@yahoo.com,,https://www.petfinder.com/member/us/az/phoenix/robin-hood-animal-rescue-az168/
USA0069,Saving Orphan Souls Rescue (S.O.S),,,savingorphansouls@yahoo.com,,https://www.savingorphansouls.org/
USA0078,Safe Haven Animal Rescue of AZ,,,safe_haven_animal_rescue@live.com,,https://www.facebook.com/groups/1405138936478168/about
USA0080,Freedom Tails Rescue,,,freedomtailsrescue@gmail.com,,https://freedomtailsrescue.com/
USA0082,"Animal Rescue Friends, Ltd",,,admin@animalrescuefriends.org,,https://www.animalrescuefriends.org/
USA0086,GTDR - Ghost Town Dog Rescue (Mesa),,,ghosttowndogrescue@gmail.com,,https://www.ghosttowndogrescue.com/
USA0087,Lucky Angel Animal Rescue,,,cristina@luckyangel.org,,
USA0089,Standing Proud Pit Bull Rescue (Mesa),,,info@standingproudpitbulls.org,,https://www.standingproudpitbulls.org/
USA0090,VOTSDR - Valley of the Sun Dog Rescue (Mesa),,,votsdradoptions@gmail.com,,https://www.valleyofthesundogrescue.org/
USA0093,Lifeline Oro Valley Animal Rescue,,,janders@lovar.org,,https://www.lovar.org/
USA1475,PBSF Dog Rescue,,,pitbullsofstfrancis@gmail.com,,https://pbsfdogrescue.org/
USA0095,Arizona Desert Rottie & Pals Rescue (Patagonia),,,azdesertrottis@aol.com,,http://azdesertrotti.com/
USA0098,Blistered Whiskers (Peoria),,,blisteredwhiskers@gmail.com,,https://www.facebook.com/BlisteredWhiskers
USA0101,Adorable Dog Rescue (Phoenix),,,AdorableDogRescue@yahoo.com,,https://www.facebook.com/AdorableDogRescue/
USA0105,Arizona Basset Hound Rescue (Phoenix),,,intake@azbassetrescue.org,,https://azbassetrescue.org/
USA0106,Arizona Cocker Rescue (Phoenix),,,AZcockerRescue@aol.com,,
USA0109,AZ CLAWS Animal Rescue,,,azclaws@cox.net,,https://azclaws.org/
USA0110,AZBR - Arizona Beagle Rescue (Phoenix),,,info@azbeaglerescue.com,,https://azbeaglerescue.com/
USA0111,Caring for Canines,,,info@caringforcanines.org,,https://caringforcanines.org/
USA0112,Citizens For North Phoenix Strays,,,CNPSrescue@gmail.com,,
USA0113,Cool Cats Rescue AZ,,,coolcatsrescueaz@gmail.com,,https://coolcatsrescue-az.org/
USA0114,DHDR - Desert Harbor Doberman Rescue (Phoenix),,,contact@azdoberescue.org,,https://azdoberescue.org/
USA0115,Four Peaks Animal Rescue (Phoenix),,,4par@desertinet.com,,http://www.fourpeaksanimalrescue.org/
USA0116,Freedom Brothers Rescue and Recovery,,,Robertmurtaugh2@aol.com,,https://freedombrothersrescueandrecovery.com/
USA0118,Little Rascals Rescue (Phoenix),,,bu.ter.fly@hotmail.com,,https://www.littlerascalsrescue.com/
USA0119,Mayday Pit Bull Rescue & Advocacy (Phoenix),,,info@maydaypitbullrescue.org,,https://www.maydaypitbullrescue.org/
USA0120,Mini Mighty Mutts Rescue,,,info@minimightymutts.com,,http://www.minimightymutts.com/
USA0121,Povertys Pets,,,info@povertyspets.org,,https://www.povertyspets.org/
USA0122,Rockstar Canine Rescue & Sanctuary,,,info@rockstarrescue.org,,https://www.facebook.com/RockstarRescueAz/
USA0123,Ruby Ranch Pet Rescue and Sanctuary,,,info@rubyranchrescue.org,,http://www.rubyranchrescue.org/
USA0124,Rustys Angels Sanctuary,,,rustysangelssanctuary@gmail.com,,https://www.rustysangelssanctuary.org
USA0125,Saving Paws Rescue Arizona (Phoenix),,,savingpawsrescueaz@gmail.com,,https://www.savingpawsrescueaz.org/
USA0127,VSGSR - Valley of the Sun Giant Schnauzer Rescue,,,phxgsrescue@hotmail.com,,https://www.vsgiantschnauzerrescue.org/
USA0128,Cochise Canine Rescue,,,info@cochisecaninerescue.org,,https://www.cochisecaninerescue.org/
USA0133,DCRSA - Desert Cat Rescue & Sanctuary of Arizona (Safford),,,desertcatrescue@gmail.com,,https://www.facebook.com/DesertCatRescueAndSanctuaryArizona
USA0134,AZ CARE- AZ Center for Animal Rescue and Education (San Tan Valley),,,AZCARE@azcarerescue.org,,https://azcarerescue.org/
USA0135,San Tan Animal Rescue,,,starrescue1@gmail.com,,https://santananimalrescue.org/
USA0138,Forever Loved Pet Sanctuary (Scottsdale),,,info@foreverlovedpets.org,,https://www.foreverlovedpets.org/
USA0141,LOVE FOR DOGS,,,info@lovefordogs.org,,https://www.lovefordogs.org/
USA0142,Lucky Dog Rescue (Scottsdale),,,info@luckydogrescue.org,,http://www.luckydogrescue.org/home
USA0143,Safe Haven for Animals (Scottsdale),,,shinfo@azshfa.org,,https://www.azshfa.org/
USA0144,Sky Sanctuary Rescue,,,skysanctuaryrescue@gmail.com,,https://skysanctuaryrescue.org/
USA0147,Great Spirit Animal Sanctuary Inc,,,INFO@GREATSPIRITANIMALSANCTUARY.ORG,,https://www.greatspiritanimalsanctuary.org/
USA0148,Round Valley Animal Rescue (Springerville),,,https://www.roundvalleyanimalrescue.org/contact.html,,https://www.roundvalleyanimalrescue.org/
USA0149,Chance Shelter (Surprise),,,info@chanceshelter.org,,https://www.facebook.com/chanceshelter
USA0151,Paw Kindness,,,pawkindness@gmail.com,,https://pkars.weebly.com/
USA0154,Claws and Paws Rescue (Tucson),,,info@clawsandpawsaz.org,,https://www.clawsandpawsaz.org/
USA0155,FAIR: Foundation for Animals in Risk (Tuczon),,,info@faircares.org,,https://www.facebook.com/profile.php?id=100064777353928
USA0157,Moon & Stars Animal Rescue,,,moonandstarsanimalrescue@gmail.com,,https://www.moonandstarsanimalrescue.org/
USA0158,No Kill Pima County (Tucson),,,admin@nokillpimacounty.org,,https://www.nokillpimacounty.org
USA0159,Pathways for Paws,,,pathwaysforpaws@yahoo.com,,https://pathwaysforpaws.com/
USA0161,Pima Paws for Life,,,Info@PimaPawsForLife.org,,https://www.pimapawsforlife.org/home.html
USA0162,SAFE - Saving Animals From Euthanasia (Tucson),,,bekind2animalstucson@gmail.com,,http://safeanimals.com/
USA0163,SARA - Saving At Risk Animals (Tucson),,,rescuesara@earthlink.net,,https://savingatriskanimals.org/
USA0164,SDR - Smiling Dog Rescue (Tucson),,,SmilingDogRescue@gmail.com,,https://www.smilingdogrescue.com/
USA0165,"SoAZBR, Southern Arizona Beagle Rescue (Tucson)",,,Information@soazbeaglerescue.com,,https://soazbeaglerescue.com/
USA0166,Southwest Oasis Lab Rescue,,,SouthwestOasisLabRescue@gmail.com,,https://solraz.org/
USA0171,Tara's Babies Animal Welfare,,,info@tarasbabies.org,,
USA0174,USA - ARKANSAS,,,,,
USA0178,Pug Rescue of Northwest Arkansas,,,pugrescuenwa@yahoo.com,,https://pugrescuenwa.org/
USA0181,Needy Paws Animal Shelter,,,info@needypawsanimalshelter.org,,https://www.needypawsanimalshelter.org/
USA0184,Humane Society of Faulkner County (Conway),,,contact@humane-fc.org,,
USA0187,Fuzzy Hearts Animal Rescue,,,fuzzyheartshome@gmail.com,,https://fuzzyheartsrescue.yolasite.com/
USA0188,Animal League of Washington County,,,animalleaguewc@gmail.com,,https://animalleagueofwashingtoncounty.org/
USA0189,"House of Little Dogs, Inc.",,,houseoflittledogs@gmail.com,,https://www.houseoflittledogs.com/
USA0190,Humane Society of the Ozarks,,,hsoadmin@hsozarks.com,,https://hsozarks.org/
USA0191,LLAR - Lost Love Animal Rescue,,,lostloveanimalrescue@gmail.com,,https://www.facebook.com/profile.php?id=100057340214663
USA0197,Humane Society of Garland County (Hot Springs),,,garlandcountyhumane@gmail.com,,https://hsgconline.org/
USA0201,Searcy County Humane Society,,,operationkindnessschs@gmail.com,,https://www.facebook.com/SearcyCountyHumaneSociety/
USA0202,Feline Rescue and Rehome (Little Rock),,,saveacat@teamfurr.org,,http://www.teamfurr.org/
USA0204,Out Of The Woods Animal Rescue of Arkansas (Little Rock),,,contact@ootwrescue.org,,https://www.ootwrescue.org/
USA0209,"Monticello 2nd Chance Fur Dogs, LLC",,,monticello2ndchancefurdogs@yahoo.com,,https://monticello2ndchancefurdogs.weebly.com/
USA0210,KC Pet Rescue (Morrilton),,,info@kcpetrescue.org,,http://www.kcpetrescue.org/
USA0211,Greener Days Ahead Rescue,,,gdarescue@gmail.com,,https://greenerdaysar.rescuegroups.org/
USA0216,Fabulous Felines NWA,,,fabulousfelinesnwa@gmail.com,,https://www.fabulousfelinesnwa.com/
USA0217,Gail’s Pets Second Chance (Oakland),,,gailspets@hotmail.com,,
USA0221,Blue Moon Cat Sanctuary (Witter),,,bluemooncatsanctuary@gmail.com,,https://valleyofthebluemoon.net/kitty_retirement/
USA0225,Humane Society of Marion County Arkansas,,,http://hsmcpets.org/contacts/,,http://hsmcpets.org/
USA0226,USA - CALIFORNIA,,,,,
USA0228,The Brittany Foundation,,,brittanyfoundation@gmail.com,,http://www.brittanyfoundationonline.org/
USA0229,Southern California Siamese Rescue,,,Csmail@siameserescue.org,,https://www.californiasiameserescue.org/
USA0230,LIFE Animal Rescue,,,lifeanimalrescue@gmail.com,,https://lifeanimalrescue.org/
