"Business Name","Email - Unlock in Sidebar","Address","Phone","Website","Rating","Reviews","Category","Google Maps URL","Latitude","Longitude"
"Dibello Hair Couture Extension Specialist Parrucchieri Make up","d******@***ellohairspa.it","Via Vittoria Colonna, 29, 00193 Roma RM, Italy","+39 06 8893 6202","http://www.dibellohairspa.it/","4.9","987","Hair Salon","https://maps.google.com/?cid=6033681794212862003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9052476","12.471754"
"De Luca Coiffeur","d******@***ucacoiffeur1906.com","Via della Stelletta, 13, 00186 Roma RM, Italy","+39 06 679 6291","https://www.delucacoiffeur1906.com/","4.9","454","Hair Salon","https://maps.google.com/?cid=11810519082457009379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9016085","12.4759341"
"Bartorelli Parrucchieri Roma • Hair Atelier • Hairstylist •• Hairdressing • the best Salon• i migliori parrucchieri a Roma•","b******@***torelliroma.it","Passeggiata di Ripetta, 13, 00186 Roma RM, Italy","+39 06 323 3141","http://www.bartorelliroma.it/","5","275","Hair Salon","https://maps.google.com/?cid=3641010355275291357&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9090956","12.4742979"
"Toni&Guy","t******@***iandguy.it","Corso Vittorio Emanuele II, 304f, 00186 Roma RM, Italy","+39 340 451 1295","https://toniandguy.it/salon/roma-corso-vittorio/","4.8","412","Hair Salon","https://maps.google.com/?cid=16687548959019768523&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.8993285","12.4662961"
"Federico Salon Roma","f******@***ericosalon.it","Via Laurina, 11, 00187 Roma RM, Italy","+39 338 327 8025","http://www.federicosalon.it/","4.8","286","Hair Salon","https://maps.google.com/?cid=10610623634779788118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9088292","12.4778362"
"The Shape Salon | Hair Project & Female Lab","t******@***shapesalon.it","V. della Vetrina, 20, 00186 Roma RM, Italy","+39 06 6839 2233","http://www.theshapesalon.it/","4.9","195","Hair Salon","https://maps.google.com/?cid=14291011530899501253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9000349","12.4698106"
"Balato Roma | Parrucchieri e Centro Estetico","b******@***ato.shop","Via del Pozzo, 45, 00187 Roma RM, Italy","+39 334 348 1447","http://balato.shop/","4.9","4384","Hair Salon","https://maps.google.com/?cid=11232612606356461723&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9019021","12.4807549"
"Hair Blossom Roma","h******@***rblossom.it","Via Flavia, 83, 00187 Roma RM, Italy","+39 06 8953 1897","https://www.hairblossom.it/","4.9","176","Hair Salon","https://maps.google.com/?cid=4485819935537009567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9077457","12.4981856"
"About Hair - Roma","a******@***r.center.ivof.com","Via Flavia, 94, 00187 Roma RM, Italy","+39 375 618 2631","https://hair.center.ivof.com/about-hair-roma/","5","246","Hair Salon","https://maps.google.com/?cid=5343798911637908387&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9075426","12.4976973"
"Toni&Guy Roma Centro","t******@***iandguy.it","Via della Scrofa, 15, 00186 Roma RM, Italy","+39 06 6942 5854","https://toniandguy.it/salon/roma-ripetta/","4.7","470","Hair Salon","https://maps.google.com/?cid=11960277619258712180&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9023357","12.4751378"
"Noi Salon","n******@***salon.com","Piazza del Popolo, 3, 00187 Roma RM, Italy","+39 06 3600 6284","http://noisalon.com/","4.7","140","Hair Salon","https://maps.google.com/?cid=30994166539021431&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9099226","12.4760804"
"GREEN HAIR","g******@***enhair.com","Via Quattro Novembre, 143, 00187 Roma RM, Italy","+39 06 8392 4013","","5","252","Hair Salon","https://maps.google.com/?cid=5746383516335051730&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.8974293","12.4851771"
"Hair Blossom Roma","h******@***rblossom.it","Via Lima, 1B, 00198 Roma RM, Italy","+39 06 6401 0859","https://www.hairblossom.it/","4.9","198","Hair Salon","https://maps.google.com/?cid=16050802368156235353&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9229349","12.4939921"
"GRAZIA BIANCHI - Hair Spa Couture","g******@bit.ly","Via di Santa Maria dell'Anima, 43, 00186 Roma RM, Italy","+39 06 6945 3418","http://bit.ly/graziabianchi_hair_spa_couture","4.9","135","Hair Salon","https://maps.google.com/?cid=3590804996413376826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.8982544","12.4722968"
"VENUS Hair and Beauty di Elena e Mario","v******@***ushairand.com","Via del Boschetto, 42a, 00184 Roma RM, Italy","+39 06 481 8413","","4.9","144","Hair Salon","https://maps.google.com/?cid=6205005421886836102&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.8980441","12.4903376"
"Mood Hair Lab","m******@***dhairlab.com","Via Buonarroti, 23, 00185 Roma RM, Italy","+39 06 7707 1540","http://www.moodhairlab.com/","4.4","284","Hair Salon","https://maps.google.com/?cid=3200339168937086711&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.893615","12.502704"
