"NOME ASSOCIAZIONE","PROVINCIA","LOCALITÀ","INDIRIZZO","EMAIL","TELEFONO","SITO WEB","FACEBOOK","INSTAGRAM"
"── PROVINCIA DI ROMA (RM) ──","","","","","","","",""
"ENPA Roma - Ente Nazionale Protezione Animali","RM","Roma (RM)","Via Luigi Bodio 74, 00191 Roma","roma@enpa.org","06 3336819","https://www.enparoma.org","https://www.facebook.com/enparomaodv","https://www.instagram.com/enparoma"
"Canile Comunale della Muratella - Roma Capitale","RM","Roma (RM)","Via della Magliana 856 (uscita 31 GRA), 00148 Roma","","06 67109550","https://www.comune.roma.it","",""
"Canile Comunale di Ponte Marconi","RM","Roma (RM)","Via della Magliana 856, 00148 Roma","adozioni@iolibero.org","349 3686973","https://www.baubau.eu","",""
"OIPA - Sezione Roma / Nucleo Guardie Eco-Zoofile","RM","Roma (RM)","Via G. Batt. Brocchi 11, 20131 (sede naz.) / Roma","roma@oipa.org","","https://www.oipa.org/italia/delegazioni/roma/","",""
"LAV - Lega Anti Vivisezione, sede nazionale Roma","RM","Roma (RM)","Via Ettore Romagnoli 36, Roma","info@lav.it","06 4461326","https://www.lav.it","https://www.facebook.com/LAVonlus","https://www.instagram.com/lavonlus"
"LNDC Animal Protection - sede Roma","RM","Roma (RM)","Via Commenda di Malta 4, 00178 Roma","info@lndcanimalprotection.org","06 7842970","https://www.lndcanimalprotection.org","",""
"AIDAEA ONLUS - Rifugio Coccone e Compagni","RM","Roma (RM)","Via Scifelle 1 / Via Ostiense, 00100 Roma","michela@aidaea.org","347 7169048","https://www.aidaea.org","",""
"ALFA - Ass. Love for Animals ODV","RM","Roma (RM)","Roma (RM)","adozioni@associazione-alfa.org","329 6595516","https://www.associazione-alfa.org","",""
"Rifugio delle Code Felici ONLUS","RM","Roma (RM)","Roma (RM)","info@rifugiocodefelici.it","348 4932955","https://www.rifugiocodefelici.it","","https://www.instagram.com/rifugiocodefelici"
"Ass. Quintomondo - Animalisti Volontari ONLUS","RM","Roma (RM)","Via Castorano 16, Roma","antoniocampidonico@yahoo.it","338 3697322","https://www.nuovacuccia.org","",""
"Ass. ASTA ODV","RM","Roma (RM)","Via Sante Bargellini 18, Roma","info@associazioneasta.org","","https://www.associazioneasta.org","",""
"I Gatti di Torpignattara - Colonia Felina Villa De Sanctis","RM","Roma (RM)","Via di San Marcellino, Roma","info@igattiditorpignattara.com","333 4283821","https://www.igattiditorpignattara.com","",""
"Fondazione Prelz ONLUS - Rifugio Campagnano","RM","Campagnano di Roma (RM)","Strada di Montelupoli 45, Campagnano di Roma","fondazioneprelzonlus@yahoo.it","06 9041448","","",""
"Ass. Canili Lazio ODV - Oasi Locatelli Mazzano Romano","RM","Mazzano Romano (RM)","Mazzano Romano (RM)","info@associazionecanililazio.it","328 3789472","","",""
"Ass. Animalista Franca Valeri ONLUS","RM","Trevignano Romano (RM)","Via Mosca 110, 00069 Trevignano Romano","cani.francavaleri@yahoo.it","347 9226531 / 334 3306722","https://www.cani-francavaleri.org","",""
"Ass. ASPA ONLUS","RM","Anguillara Sabazia (RM)","Via Monte Fumaiolo 12/F, 00061 Anguillara Sabazia","aspa-anguillara@libero.it","349 6717282","https://www.aspaanguillara.org","",""
"Ass. Amici di Fido...e non solo ONLUS","RM","Castel Madama (RM)","Via della Libertà 145, 00024 Castel Madama","","328 3177769","","https://www.facebook.com/groups/amicidifidoenonsolo",""
"Rifugio ANPANA Code Felici - Bracciano","RM","Bracciano (RM)","Via Braccianese Claudia km. 26,050, 00062 Bracciano","amicideglianimali@pec.it","06 9514655","","",""
"Centro Cinofilo del Lago - Bracciano","RM","Bracciano (RM)","Via Braccianense Km 17, 00062 Bracciano","pzampetti@email.it","06 99801005 / 328 1783715","","",""
"Ass. Volontari Cinofili Marilù - Canile Alba Dog Pomezia","RM","Pomezia (RM)","Via Monachelle Vecchia 47 (Via Laurentina km.25), 00071 Pomezia","info@cinofilimarilu.it","339 4371121 / 339 1259452","https://www.cinofilimarilu.it","",""
"Ass. Pet Village - Roma Sud","RM","Roma (RM)","Via Ardeatina Km. 18, Roma","ass.petvillage@hotmail.it","339 5650598","","https://www.facebook.com/pages/associazione-Pet-Village-canile/156240714470638",""
"Ass. GrottaferrataFido ONLUS","RM","Grottaferrata (RM)","Grottaferrata (RM)","","338 8729651","","https://www.facebook.com/Grottaferratafido",""
"Canis in Fabula - Canile Velletri/Lazzaria","RM","Lazzaria - Velletri (RM)","Lazzaria, 00049 Velletri","adozionicanilevelletri@gmail.com","338 7034771","","",""
