"Business Name","Email - Unlock in Sidebar","Address","Phone","Website","Rating","Reviews","Category","Google Maps URL","Latitude","Longitude"
"Rifugio Romano","r******@***ugioromano.com","Via Volturno, 39/41, 00185 Roma RM, Italy","+39 06 488 0945","http://www.rifugioromano.com/","4.5","6373","Vegan Restaurant","https://maps.google.com/?cid=9336033981631167125&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9044388","12.4995988"
"Buddy Veggy Restaurant Cafè","b******@***dyroma.com","Corso Vittorio Emanuele II, 107A, 00186 Roma RM, Italy","+39 06 8772 8433","http://www.buddyroma.com/","4.4","4305","Vegan Restaurant","https://maps.google.com/?cid=15599365487261355549&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.8966295","12.4747104"
"Il Margutta","i******@***argutta.bio","Via Margutta, 118, 00187 Roma RM, Italy","+39 06 3265 0577","https://ilmargutta.bio/","4.3","2800","Vegetarian Restaurant","https://maps.google.com/?cid=11949818631733541340&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.909483","12.478375"
"Vrindaa Restaurant and Food Studio","v******@***ndaa.it","Via Salaria, 203, 00198 Roma RM, Italy","+39 331 404 0532","http://www.vrindaa.it/","4.8","855","Vegan Restaurant","https://maps.google.com/?cid=3547649582381123027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9187881","12.4974635"
"Aromaticus","a******@***maticus-roma.com","Via Natale del Grande, 6/7, 00153 Roma RM, Italy","+39 06 8879 8381","https://www.aromaticus-roma.com/","4.5","763","Vegan Restaurant","https://maps.google.com/?cid=12481705242872018769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.8872806","12.4709434"
"Romeow Cat Bistrot","r******@***eowcatbistrot.com","Via Francesco Negri, 15, 00154 Roma RM, Italy","+39 06 5728 9203","https://www.romeowcatbistrot.com/orari-e-informazioni-importanti/","4.4","3909","Vegan Restaurant","https://maps.google.com/?cid=13779188542862503275&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.8705738","12.4815532"
"Écru","é******@***urawfood.it","Via Acciaioli, 13, 00186 Roma RM, Italy","+39 06 6880 4282","https://www.ecrurawfood.it/","4.6","679","Vegan Restaurant","https://maps.google.com/?cid=6657754710794113047&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.8999301","12.4645976"
"Saravanaa Bhavan","s******@***avanaabhavan.it","Via Volturno, 1, 00185 Roma RM, Italy","+39 388 467 6644","https://saravanaabhavan.it/","4.5","2441","Indian Restaurant","https://maps.google.com/?cid=13433408365846447236&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.905054","12.4988689"
"Rosemary terra e sapori","r******@***emary.bio","Via Modena, 15, 00184 Roma RM, Italy","+39 06 4891 3645","http://www.rosemary.bio/","4.7","3141","Italian Restaurant","https://maps.google.com/?cid=17009141979815969388&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9019653","12.4940087"
"Bibliothè","b******@***lioth.com","Via Celsa, 5, 00186 Roma RM, Italy","+39 06 678 1427","","4.6","651","Vegetarian Restaurant","https://maps.google.com/?cid=2822854461954951526&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.8952997","12.4788746"
"Ops!","o******@***veg.com","Via Bergamo, 56, 00198 Roma RM, Italy","+39 06 841 1769","http://opsveg.com/","4.5","2185","Vegan Restaurant","https://maps.google.com/?cid=15203403693248724986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.9112256","12.5008485"
"La locanda del tempio","l******@***ocandadel.com","Via di Pietra, 85, 00186 Roma RM, Italy","+39 06 4754 5886","","4.6","9154","Italian Restaurant","https://maps.google.com/?cid=9003974791559381801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.8999875","12.4803759"
"Gandhi 2 Indian Restaurant","g******@***dhiroma2.eu","Via Genova, 29/A, 00184 Roma RM, Italy","+39 06 8614 2446","http://www.gandhiroma2.eu/","4.7","8012","Indian Restaurant","https://maps.google.com/?cid=16903017427133087675&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","41.898889","12.4923869"
